X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
-35.1724319458 -139.938522339 -165.818862915 0.751132808771 78673.0 78673.0 0.0
-35.1571388245 -140.035583496 -165.808380127 0.794344361549 77352.0 80943.0 0.7
-35.1580848694 -140.074264526 -165.810272217 0.804237506056 80943.0 80943.0 0.0
-35.1564102173 -140.15322876 -165.832305908 0.817695072417 84474.0 80142.0 0.064
-35.1568107605 -140.159225464 -165.834472656 0.81826960857 84474.0 84474.0 0.0
-35.1570053101 -140.181610107 -165.841583252 0.820908369838 84479.0 84480.0 0.324
-35.1582145691 -140.20539856 -165.847640991 0.823209353284 84480.0 84480.0 0.0
-35.1618270874 -140.247589111 -165.860031128 0.827871554014 83495.0 77330.0 0.004
-35.1659469604 -140.280197144 -165.869049072 0.83187254606 81764.0 77330.0 0.036
-35.1896057129 -140.425979614 -165.943649292 0.838639346783 80911.0 80911.0 0.0
-35.1896400452 -140.426101685 -165.943710327 0.838647443911 80919.0 80911.0 0.988
-35.192401886 -140.436416626 -165.948852539 0.83931410742 80919.0 80919.0 0.0
-35.1989898682 -140.463821411 -165.962280273 0.841446649902 80918.0 80920.0 0.86
-35.2078170776 -140.509765625 -165.987823486 0.844167985958 80918.0 75326.0 0.012
-35.2460823059 -140.638320923 -166.065689087 0.858448142759 77349.0 79404.0 0.06
-35.2482681274 -140.649719238 -166.0728302 0.860286833749 77349.0 68493.0 0.132
-35.2639541626 -140.734237671 -166.113098145 0.873209834062 68493.0 76023.0 0.336
-35.2740135193 -140.762496948 -166.131317139 0.876740772567 76023.0 76023.0 0.0
-35.2745399475 -140.764450073 -166.132766724 0.877093942437 74869.0 76023.0 0.984
-35.3069381714 -140.88458252 -166.221572876 0.898813889483 74869.0 74869.0 0.0
-35.3108062744 -140.901092529 -166.230041504 0.903057086079 1175.0 1175.0 0.0
-35.3260002136 -140.946899414 -166.254745483 0.913199537777 78729.0 77370.0 0.012
-35.3384017944 -141.003082275 -166.293457031 0.922029526745 77370.0 77370.0 0.0
-35.3447494507 -141.021499634 -166.308517456 0.925431189687 77972.0 77337.0 0.9
-35.3725585938 -141.081771851 -166.365142822 0.936470898947 77972.0 77972.0 0.0
-35.3766098022 -141.094406128 -166.37890625 0.938041043684 43114.0 75330.0 0.076
-35.3869056702 -141.128295898 -166.412078857 0.943446830143 75330.0 76104.0 0.028
-35.3975410461 -141.159973145 -166.438095093 0.948522084119 77420.0 77420.0 0.0
-35.4133453369 -141.197555542 -166.470916748 0.952817820451 74835.0 77419.0 0.804
-35.4318466187 -141.245529175 -166.520111084 0.957307410874 74835.0 75401.0 0.256
-35.4493942261 -141.283157349 -166.567810059 0.959521551177 76730.0 75401.0 0.908
-35.467010498 -141.323806763 -166.613632202 0.963716803913 76727.0 76777.0 0.336
-35.4694824219 -141.328918457 -166.6199646 0.964177101992 76782.0 76727.0 0.648
-35.4951553345 -141.369033813 -166.679611206 0.966325223853 76086.0 72674.0 0.796
-35.5025215149 -141.382385254 -166.698196411 0.966547892935 72632.0 72674.0 0.884
-35.5222969055 -141.422897339 -166.748779297 0.968554319042 67389.0 67389.0 0.0
-35.5484733582 -141.490341187 -166.823577881 0.974004197165 76050.0 76050.0 0.0
-35.569683075 -141.567672729 -166.949996948 0.982295504765 76033.0 72608.0 0.288
-35.5708312988 -141.570343018 -166.955429077 0.982476538515 76033.0 76032.0 0.432
-35.5850143433 -141.621292114 -167.046417236 0.984609993502 75381.0 69440.0 0.868
-35.5950546265 -141.657531738 -167.121459961 0.989414517001 74643.0 74643.0 0.0
-35.5981254578 -141.682876587 -167.173309326 0.994743889672 72621.0 72621.0 0.0
-35.6044425964 -141.720169067 -167.234130859 1.00189298959 73293.0 73293.0 0.0
-35.6169433594 -141.771743774 -167.340179443 1.01334728516 74665.0 74665.0 0.0
-35.6171150208 -141.772140503 -167.340759277 1.01345007186 74663.0 74665.0 0.984
-35.6277275085 -141.796554565 -167.375991821 1.01977145417 74663.0 74663.0 0.0
-35.6391296387 -141.817337036 -167.412872314 1.02422167811 74660.0 74664.0 0.936
-35.6512489319 -141.840957642 -167.452529907 1.03030360859 74660.0 71115.0 0.144
-35.6700210571 -141.889221191 -167.530334473 1.04375287251 74007.0 73989.0 0.556
-35.6766967773 -141.911239624 -167.564056396 1.05046334998 72595.0 67324.0 0.704
-35.6835479736 -141.927154541 -167.592483521 1.05464859547 73987.0 73998.0 0.76
-35.6887130737 -141.941223145 -167.615478516 1.0578523215 73324.0 73998.0 0.444
-35.6942138672 -141.952606201 -167.631729126 1.06019780883 73324.0 73326.0 0.064
-35.7075881958 -141.983047485 -167.678451538 1.0677107611 63859.0 63859.0 0.0
-35.7242469788 -142.026641846 -167.773880005 1.07631861449 72606.0 72603.0 0.736
-35.7306976318 -142.052017212 -167.820526123 1.08253526358 3572.0 72603.0 0.656
-35.7464370728 -142.09777832 -167.900741577 1.09371190943 3572.0 3572.0 0.0
-35.754650116 -142.11769104 -167.942138672 1.10005243594 1080.0 1080.0 0.0
-35.7559127808 -142.123840332 -167.956680298 1.10184045445 68523.0 72599.0 0.864
-35.7602653503 -142.144546509 -167.996276855 1.10508304975 71114.0 71114.0 0.0
-35.7734680176 -142.216079712 -168.142120361 1.11526203515 71883.0 71883.0 0.0
-35.7742919922 -142.219970703 -168.148757935 1.11591780648 33393.0 68460.0 0.924
-35.7866859436 -142.251617432 -168.206039429 1.11889071532 57838.0 33393.0 0.336
-35.7920227051 -142.262496948 -168.229019165 1.119738185 67310.0 57838.0 0.928
-35.8219108582 -142.327270508 -168.358383179 1.13095545892 70319.0 67358.0 0.808
-35.8231391907 -142.329559326 -168.363845825 1.13149492852 69479.0 67358.0 0.512
-35.8241386414 -142.333404541 -168.371780396 1.13158905924 60245.0 69479.0 0.932
-35.8289871216 -142.346954346 -168.401000977 1.1313704053 70320.0 70320.0 0.0
-35.8572044373 -142.404403687 -168.530517578 1.13053642563 68555.0 68555.0 0.0
-35.8572807312 -142.404602051 -168.530914307 1.13056246589 63778.0 68555.0 0.996
-35.8763237 -142.453231812 -168.628829956 1.13704649136 63778.0 63778.0 0.0
-35.9070549011 -142.492248535 -168.723846436 1.13953729551 69449.0 68551.0 0.488
-35.9282836914 -142.52545166 -168.790618896 1.14202464876 69449.0 62832.0 0.596
-35.9345703125 -142.538757324 -168.817581177 1.14280020469 63913.0 62832.0 0.988
-35.9668273926 -142.588165283 -168.937667847 1.14809095059 67268.0 67268.0 0.0
-36.0029907227 -142.628707886 -169.042648315 1.1487837835 68438.0 68438.0 0.0
-36.0149841309 -142.646286011 -169.082489014 1.15066693276 68439.0 66159.0 0.32
-36.0305595398 -142.672698975 -169.142364502 1.15370306232 66159.0 66159.0 0.0
-36.0549087524 -142.694854736 -169.209030151 1.15270964854 67313.0 67313.0 0.0
-36.0841255188 -142.725753784 -169.28692627 1.15345334863 66134.0 66134.0 0.0
-36.084148407 -142.725784302 -169.287002563 1.15345507742 64932.0 66134.0 0.996
-36.0897445679 -142.733093262 -169.304550171 1.15388554671 64932.0 64932.0 0.0
-36.0902137756 -142.733673096 -169.306015015 1.1539767013 66068.0 64932.0 0.98
-36.1132354736 -142.76234436 -169.377578735 1.15844327622 66068.0 66068.0 0.0
-36.1220970154 -142.771331787 -169.405349731 1.15985050352 63890.0 63890.0 0.0
-36.1385612488 -142.790481567 -169.457305908 1.16248561832 66281.0 66281.0 0.0
-36.146270752 -142.799636841 -169.480529785 1.16342527211 66153.0 61391.0 0.432
-36.1528320312 -142.807678223 -169.500213623 1.16436253838 62703.0 66153.0 0.916
-36.1706123352 -142.834365845 -169.564453125 1.16894113282 62703.0 62703.0 0.0
-36.1750869751 -142.839233398 -169.576400757 1.16967767533 56702.0 63894.0 0.872
-36.1988372803 -142.864273071 -169.634384155 1.17340082354 56702.0 56702.0 0.0
-36.2203598022 -142.891937256 -169.704528809 1.17905439209 61531.0 63904.0 0.608
-36.2342605591 -142.91696167 -169.766189575 1.18405092441 61531.0 61531.0 0.0
-36.2406234741 -142.924911499 -169.786743164 1.18607529384 65073.0 62737.0 0.928
-36.2767372131 -142.960342407 -169.905105591 1.19501760951 65073.0 65073.0 0.0
-36.3055305481 -142.987731934 -169.979644775 1.20565788651 62735.0 63906.0 0.756
-36.3150253296 -143.003387451 -170.01776123 1.20991804305 62735.0 62735.0 0.0
-36.3155021667 -143.003997803 -170.019729614 1.21013282422 62733.0 62735.0 0.972
-36.3320960999 -143.025421143 -170.08821106 1.21758879914 62733.0 62733.0 0.0
-36.3324546814 -143.02583313 -170.089706421 1.21782108255 55613.0 62733.0 0.98
-36.3499794006 -143.046386719 -170.162704468 1.22920296992 55613.0 55613.0 0.0
-36.350025177 -143.046432495 -170.162841797 1.22922859412 62698.0 55613.0 0.996
-36.3610877991 -143.057983398 -170.196746826 1.23560901946 62698.0 62698.0 0.0
-36.3610992432 -143.057998657 -170.196792603 1.23561608906 61532.0 62698.0 0.992
-36.3624000549 -143.0599823 -170.202331543 1.23649271963 61532.0 61532.0 0.0
-36.3624649048 -143.060073853 -170.202575684 1.23653402649 61534.0 61532.0 0.992
-36.3706550598 -143.071792603 -170.233276367 1.241656077 61534.0 61534.0 0.0
-36.372379303 -143.074615479 -170.241043091 1.24283989478 60331.0 60332.0 0.04
-36.3888702393 -143.098114014 -170.315505981 1.25413398153 60332.0 60332.0 0.0
-36.3962593079 -143.108016968 -170.339309692 1.25782868759 60185.0 60333.0 0.968
-36.4298667908 -143.171295166 -170.481063843 1.2818520337 60185.0 60185.0 0.0
-36.4328727722 -143.18081665 -170.496047974 1.28329555265 57802.0 55672.0 0.92
-36.4780540466 -143.266708374 -170.621902466 1.28717527449 54517.0 54517.0 0.0
-36.4996986389 -143.310501099 -170.684234619 1.28821504924 56665.0 53509.0 0.564
-36.5199203491 -143.359725952 -170.747116089 1.28810431749 56655.0 56665.0 0.732
-36.5432281494 -143.408920288 -170.809844971 1.29049906874 54587.0 54587.0 0.0
-36.5475349426 -143.420913696 -170.826782227 1.29073506536 53406.0 55650.0 0.968
-36.5795097351 -143.534332275 -170.961151123 1.28923249357 53436.0 53436.0 0.0
-36.5825309753 -143.560501099 -170.982574463 1.28502849259 49715.0 49673.0 0.932
-36.560043335 -143.727890015 -171.120773315 1.23734701742 44875.0 49699.0 0.188
-36.5596961975 -143.740539551 -171.129104614 1.2341978813 43001.0 44875.0 0.832
-36.5640792847 -143.763137817 -171.1431427 1.22951226944 41052.0 48815.0 0.308
-36.5631027222 -143.821731567 -171.171676636 1.20794867808 47098.0 47098.0 0.0
-36.5630722046 -143.82244873 -171.172103882 1.20767488005 36980.0 47098.0 0.988
-36.5605239868 -143.88168335 -171.207229614 1.18513217558 36980.0 36980.0 0.0
-36.5099220276 -144.133682251 -171.306106567 1.08140727609 48826.0 48886.0 0.208
-36.4905395508 -144.310852051 -171.39666748 1.03570792573 44884.0 44884.0 0.0
-36.4602127075 -144.388900757 -171.422637939 1.00952311357 47922.0 47922.0 0.0
-36.3717193604 -144.615005493 -171.525588989 0.949709047661 47934.0 47934.0 0.0
-36.3634376526 -144.64125061 -171.540740967 0.944346365678 41953.0 23407.0 0.976
-36.2629737854 -144.876037598 -171.640380859 0.906448980452 45975.0 44868.0 0.232
-36.1923904419 -145.068313599 -171.750198364 0.913488638299 31707.0 31707.0 0.0
-36.1452064514 -145.165679932 -171.822174072 0.928542252313 40956.0 40956.0 0.0
-36.1067428589 -145.261886597 -171.881210327 0.938692488256 43929.0 43929.0 0.0
-36.0308876038 -145.446578979 -172.025283813 0.982304193285 41987.0 44898.0 0.9
-36.0244140625 -145.460479736 -172.038925171 0.986264245737 43906.0 43920.0 0.968
-35.9522438049 -145.61100769 -172.162033081 1.0331901447 38963.0 40899.0 0.22
-35.914188385 -145.686981201 -172.238449097 1.0659966222 43892.0 43969.0 0.652
-35.8897094727 -145.73109436 -172.287475586 1.08688720971 43967.0 43924.0 0.924
-35.8070869446 -145.828216553 -172.423049927 1.14480679959 41773.0 41773.0 0.0
-35.7388114929 -145.890106201 -172.486572266 1.17320436359 43801.0 43801.0 0.0
-35.7385826111 -145.890289307 -172.486801147 1.17329543399 43802.0 43801.0 0.984
-35.724571228 -145.901809692 -172.500961304 1.17889626352 43802.0 43802.0 0.0
-35.7171630859 -145.910751343 -172.509918213 1.18206628809 42764.0 41776.0 0.976
-35.6101455688 -146.043197632 -172.6612854 1.23628680359 37134.0 37127.0 0.188
-35.5923690796 -146.062698364 -172.681762695 1.24405398632 37134.0 31797.0 0.744
-35.53565979 -146.14414978 -172.777526855 1.27364839333 42700.0 42755.0 0.66
-35.5273971558 -146.153961182 -172.7890625 1.27744436203 42755.0 41920.0 0.3
-35.5025863647 -146.187728882 -172.818832397 1.28545342036 40916.0 42747.0 0.332
-35.4694290161 -146.25189209 -172.87437439 1.29532827534 41770.0 42723.0 0.904
-35.4267120361 -146.328048706 -172.932525635 1.30787464893 38816.0 41765.0 0.712
-35.4215774536 -146.337661743 -172.940551758 1.30944354064 41766.0 41765.0 0.288
-35.4176216125 -146.347793579 -172.947341919 1.31039516307 40774.0 41766.0 0.684
-35.4122200012 -146.359222412 -172.954803467 1.31096651607 40774.0 8831.0 0.044
-35.3836135864 -146.417984009 -172.99597168 1.31454679988 38010.0 38010.0 0.0
-35.3673248291 -146.449081421 -173.01776123 1.31463476752 35198.0 40793.0 0.22
-35.3214645386 -146.53414917 -173.081634521 1.3152349809 34264.0 34264.0 0.0
-35.2918395996 -146.600418091 -173.129653931 1.32044411992 39867.0 41726.0 0.216
-35.2847862244 -146.613464355 -173.140701294 1.32121829455 38938.0 41726.0 0.9
-35.2557754517 -146.66242981 -173.18019104 1.32352774921 38938.0 38938.0 0.0
-35.2434921265 -146.682998657 -173.195388794 1.32456889969 40791.0 35092.0 0.416
