X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
24.8525085449 -191.842453003 -190.122024536 0.779298932104 116706.0 116706.0 0.0
24.904624939 -191.798187256 -190.157119751 0.832427175882 136011.0 136011.0 0.0
24.9764022827 -191.673339844 -190.229415894 0.890532835025 2685.0 2685.0 0.0
24.9777793884 -191.666641235 -190.235031128 0.893196186964 3248.0 3248.0 0.0
25.0184726715 -191.550827026 -190.311004639 0.930708517547 3243.0 3595.0 0.852
25.0215587616 -191.524612427 -190.322753906 0.931340892877 3595.0 2257.0 0.172
25.0247001648 -191.512786865 -190.328720093 0.931413490264 3350.0 3196.0 0.856
25.0405921936 -191.408294678 -190.376098633 0.928551159503 4005.0 4003.0 0.188
25.0468482971 -191.379211426 -190.389678955 0.928644662903 4008.0 4005.0 0.704
25.0606708527 -191.303924561 -190.421234131 0.929999659065 4006.0 3785.0 0.904
25.063627243 -191.293075562 -190.425598145 0.929925593492 3803.0 3997.0 0.168
25.0652732849 -191.283340454 -190.429718018 0.929310434455 3594.0 3515.0 0.092
25.0957489014 -191.148284912 -190.493438721 0.926616497862 4446.0 7321.0 0.532
25.1103782654 -191.097869873 -190.518936157 0.925489766835 7321.0 4065.0 0.772
25.1216316223 -191.036437988 -190.543243408 0.925250109336 7323.0 7324.0 0.832
25.1252365112 -191.022674561 -190.54850769 0.924893321846 7326.0 7325.0 0.148
25.1496276855 -190.946929932 -190.577453613 0.922533388039 4136.0 3671.0 0.228
25.1658935547 -190.873596191 -190.60975647 0.921147277541 4514.0 4514.0 0.0
25.1775588989 -190.836242676 -190.620986938 0.919150021651 4496.0 4496.0 0.0
25.2070827484 -190.714950562 -190.663894653 0.916936470209 4537.0 4537.0 0.0
25.2417411804 -190.561157227 -190.71812439 0.91028878169 4937.0 4937.0 0.0
25.2489089966 -190.540496826 -190.725540161 0.909446835466 5382.0 5039.0 0.04
25.2801303864 -190.413375854 -190.761657715 0.903945523996 44887.0 5384.0 0.252
25.2906646729 -190.378173828 -190.769668579 0.903517178052 5360.0 44886.0 0.16
25.2915325165 -190.37437439 -190.770446777 0.90335619815 5360.0 5381.0 0.18
25.3062133789 -190.299102783 -190.788879395 0.90083145495 5208.0 5208.0 0.0
25.3301315308 -190.215194702 -190.811004639 0.899234217777 5380.0 5733.0 0.088
25.3430118561 -190.145401001 -190.830810547 0.897624142473 5179.0 18645.0 0.944
25.378786087 -190.01612854 -190.881332397 0.900649192606 5708.0 5708.0 0.0
25.3810157776 -190.009475708 -190.882766724 0.900936866526 5443.0 5886.0 0.968
25.4081459045 -189.892959595 -190.911346436 0.902823867809 6046.0 6018.0 0.648
25.4125404358 -189.857254028 -190.921600342 0.902534761668 6017.0 6016.0 0.384
25.441822052 -189.723129272 -190.961685181 0.90306124495 6132.0 6132.0 0.0
25.4498023987 -189.678375244 -190.978759766 0.903169385345 6674.0 6674.0 0.0
25.4645023346 -189.611312866 -190.994979858 0.903659637848 6118.0 6118.0 0.0
25.472492218 -189.565414429 -191.007919312 0.904241238618 6443.0 6445.0 0.124
25.473323822 -189.557434082 -191.010238647 0.904121405154 6444.0 4404.0 0.448
25.4754600525 -189.545074463 -191.015930176 0.903572285974 6096.0 4404.0 0.992
25.5014095306 -189.413421631 -191.06086731 0.904124861641 6660.0 6660.0 0.0
25.5041656494 -189.400421143 -191.066436768 0.903867355162 6656.0 6656.0 0.0
25.5315551758 -189.288009644 -191.118789673 0.903116918076 6392.0 6428.0 0.896
25.5352077484 -189.275360107 -191.124023438 0.903117501661 6665.0 60870.0 0.052
25.5387744904 -189.256973267 -191.131546021 0.902315226278 6699.0 6665.0 0.28
25.5673370361 -189.137084961 -191.187789917 0.90370025175 6835.0 6835.0 0.0
25.5935764313 -189.04498291 -191.227859497 0.90374146726 6839.0 6580.0 0.78
25.5980014801 -189.027435303 -191.234863281 0.90384336608 6580.0 6759.0 0.024
25.6133575439 -188.944747925 -191.265838623 0.909051852391 7036.0 7036.0 0.0
25.6196651459 -188.920837402 -191.273117065 0.910103370886 7037.0 7037.0 0.0
25.6196956635 -188.920684814 -191.273162842 0.910105040283 5907.0 7037.0 0.996
25.6272659302 -188.883224487 -191.285980225 0.910520720222 5907.0 5907.0 0.0
25.6274986267 -188.881896973 -191.286453247 0.910618358353 7279.0 5907.0 0.988
25.6466083527 -188.77293396 -191.325546265 0.918657231178 7279.0 7279.0 0.0
25.6468696594 -188.77116394 -191.32635498 0.918778946108 7147.0 7147.0 0.0
25.649230957 -188.759109497 -191.331939697 0.91864349108 202598.0 7149.0 0.964
25.6495475769 -188.757705688 -191.332611084 0.91867214739 202599.0 7149.0 0.952
25.664358139 -188.683898926 -191.362106323 0.920395375438 202600.0 202600.0 0.0
25.6755123138 -188.604797363 -191.396484375 0.919910948249 202604.0 7549.0 0.032
25.6995620728 -188.49571228 -191.44102478 0.923738901527 7232.0 7157.0 0.892
25.705745697 -188.449310303 -191.459609985 0.925683922055 7435.0 7218.0 0.964
25.7126064301 -188.418106079 -191.472335815 0.926327686938 7615.0 7113.0 0.104
25.7215251923 -188.336288452 -191.495117188 0.926558951823 7669.0 7669.0 0.0
25.7446594238 -188.226898193 -191.532150269 0.929793856505 8167.0 8167.0 0.0
25.7486934662 -188.175582886 -191.548599243 0.930235796813 8186.0 8183.0 0.224
25.7664394379 -188.058242798 -191.592498779 0.935422612685 8227.0 8227.0 0.0
25.7884960175 -187.897094727 -191.659393311 0.942145197401 8529.0 8548.0 0.996
25.7886104584 -187.894424438 -191.66015625 0.942321463539 8396.0 8547.0 0.904
25.7965049744 -187.829696655 -191.675247192 0.943402605628 8470.0 8470.0 0.0
25.799949646 -187.785186768 -191.689361572 0.944076149179 8290.0 8468.0 0.032
25.8202590942 -187.681777954 -191.732574463 0.944902931293 8766.0 7653.0 0.204
25.8210334778 -187.673187256 -191.736312866 0.944730062969 8766.0 8514.0 0.404
25.8222541809 -187.657241821 -191.740783691 0.944415602895 8862.0 8514.0 0.964
25.8542137146 -187.484741211 -191.808273315 0.945163225853 8859.0 8859.0 0.0
25.8543205261 -187.48399353 -191.808731079 0.945140669129 8664.0 8866.0 0.648
25.8771209717 -187.331542969 -191.870544434 0.947173448922 9179.0 9179.0 0.0
25.8773918152 -187.330215454 -191.870941162 0.94721439836 9526.0 9516.0 0.92
25.892414093 -187.211105347 -191.913864136 0.948976266843 9518.0 9518.0 0.0
25.9000091553 -187.168151855 -191.928894043 0.950238703794 9464.0 8610.0 0.624
25.9079990387 -187.080444336 -191.964889526 0.951665773207 9466.0 9466.0 0.0
25.9139461517 -187.045715332 -191.977630615 0.950968335629 192666.0 8177.0 0.864
25.9268436432 -186.890106201 -192.030380249 0.951816514073 219953.0 219953.0 0.0
25.9300460815 -186.850738525 -192.050567627 0.952178544929 219951.0 10105.0 0.896
25.939207077 -186.795593262 -192.077926636 0.951245361023 64935.0 64935.0 0.0
25.9484004974 -186.662246704 -192.132369995 0.953309327134 9283.0 9283.0 0.0
25.9488983154 -186.651901245 -192.136886597 0.953302917916 8790.0 7807.0 0.824
25.9548873901 -186.60194397 -192.160018921 0.952133489406 159195.0 10123.0 0.84
25.9588699341 -186.485427856 -192.207885742 0.951484175239 10438.0 10438.0 0.0
25.9589080811 -186.484939575 -192.207977295 0.951484055679 10439.0 10438.0 0.988
25.9620780945 -186.445083618 -192.215179443 0.951474211919 10439.0 10439.0 0.0
25.9629116058 -186.394287109 -192.225509644 0.950620038841 78031.0 78030.0 0.908
25.9680271149 -186.34236145 -192.238967896 0.949620354398 10107.0 10107.0 0.0
25.9740352631 -186.217758179 -192.305099487 0.952363623156 10007.0 10007.0 0.0
25.9759407043 -186.20501709 -192.312698364 0.952864910002 9131.0 9131.0 0.0
25.9828071594 -186.072891235 -192.364318848 0.953623326057 81012.0 81012.0 0.0
25.9894599915 -185.950271606 -192.42868042 0.956367401541 81008.0 81008.0 0.0
25.9894332886 -185.947555542 -192.4296875 0.956410210872 81007.0 81009.0 0.06
25.9979763031 -185.82649231 -192.474182129 0.958073338079 11492.0 10241.0 0.068
25.9983711243 -185.817245483 -192.477600098 0.958307171676 11492.0 11511.0 0.06
25.9976787567 -185.77973938 -192.491943359 0.959226198224 11491.0 10950.0 0.056
26.0079650879 -185.65536499 -192.544189453 0.963747303717 11514.0 11514.0 0.0
26.0078697205 -185.630783081 -192.556243896 0.964729847711 11845.0 11845.0 0.0
26.0198192596 -185.47984314 -192.621963501 0.973247497317 100932.0 100932.0 0.0
26.0220508575 -185.408203125 -192.642532349 0.976548383462 10693.0 10601.0 0.056
26.0224075317 -185.403274536 -192.644241333 0.97682445402 10386.0 10693.0 0.976
26.0348987579 -185.302185059 -192.679244995 0.983523612619 11523.0 11523.0 0.0
26.0355148315 -185.229110718 -192.70765686 0.987358898739 11879.0 11879.0 0.0
26.0465965271 -185.133239746 -192.749023438 0.993419891323 12198.0 11037.0 0.196
26.0471820831 -185.110717773 -192.759094238 0.994691763269 12198.0 11047.0 0.4
26.0515632629 -185.026916504 -192.790466309 0.999617796204 158475.0 114149.0 0.696
26.0581207275 -184.96762085 -192.81237793 1.00442585325 114152.0 158474.0 0.156
26.059715271 -184.926940918 -192.827850342 1.00726050817 2286.0 158477.0 0.068
26.0620079041 -184.905899048 -192.83555603 1.00814793603 2286.0 12302.0 0.56
26.0638160706 -184.890319824 -192.842163086 1.00876845476 12302.0 12194.0 0.024
26.0671310425 -184.816177368 -192.874465942 1.01122008261 11886.0 12234.0 0.808
26.0783424377 -184.713699341 -192.914505005 1.01727053763 49909.0 49909.0 0.0
26.078163147 -184.697158813 -192.919235229 1.01748088654 13047.0 13047.0 0.0
26.0851097107 -184.572647095 -192.948196411 1.01847253727 13065.0 13065.0 0.0
26.0844326019 -184.464752197 -192.977355957 1.02184148874 10373.0 10373.0 0.0
26.084444046 -184.464538574 -192.977401733 1.021853301 11360.0 10373.0 0.996
26.0872764587 -184.409759521 -192.990600586 1.02479455247 11360.0 11360.0 0.0
26.0939178467 -184.346374512 -193.01171875 1.0303165085 13170.0 13463.0 0.088
26.09400177 -184.336242676 -193.015151978 1.03077723572 13468.0 13170.0 0.876
26.0980739594 -184.235351562 -193.040298462 1.035463974 13853.0 13839.0 0.284
26.0985221863 -184.183105469 -193.052459717 1.0380855049 13461.0 13138.0 0.152
26.0971374512 -184.161895752 -193.057846069 1.03885193728 114852.0 114853.0 0.016
26.0999126434 -184.023864746 -193.101364136 1.04578088064 114855.0 114855.0 0.0
26.1014709473 -184.007751465 -193.106201172 1.0466489567 13922.0 11683.0 0.084
26.1015167236 -184.002426147 -193.10786438 1.04668028842 13266.0 13922.0 0.932
26.1009044647 -183.905960083 -193.133834839 1.04816714788 13857.0 13857.0 0.0
26.1005077362 -183.897293091 -193.135696411 1.04846801017 14703.0 14703.0 0.0
26.0937099457 -183.827850342 -193.148742676 1.05008054726 14705.0 14705.0 0.0
26.0849342346 -183.631439209 -193.201690674 1.0539912525 47099.0 47099.0 0.0
26.0851726532 -183.614486694 -193.204742432 1.05472570123 47100.0 13787.0 0.516
26.0852851868 -183.529067993 -193.227340698 1.06005893107 11378.0 15185.0 0.304
26.0860385895 -183.517608643 -193.230270386 1.06051210133 13928.0 14778.0 0.36
26.0847225189 -183.390441895 -193.267547607 1.06489447235 246497.0 15129.0 0.292
26.0817604065 -183.351867676 -193.280075073 1.06695966066 66599.0 66596.0 0.508
26.081703186 -183.25491333 -193.316329956 1.07143222504 15119.0 14662.0 0.904
26.0812664032 -183.248931885 -193.31854248 1.0716305665 14662.0 66234.0 0.436
26.0801239014 -183.169433594 -193.342376709 1.07197974017 66235.0 66235.0 0.0
26.0810699463 -183.114151001 -193.359649658 1.07450299102 15182.0 15182.0 0.0
26.0811862946 -183.111618042 -193.360321045 1.07458958612 66233.0 66233.0 0.0
26.0812149048 -183.099594116 -193.364868164 1.07413745792 15487.0 15487.0 0.0
26.0775718689 -182.973007202 -193.403091431 1.07445623135 157822.0 157822.0 0.0
26.0770435333 -182.964508057 -193.405014038 1.074450044 157821.0 20403.0 0.032
26.077173233 -182.872558594 -193.439239502 1.07388415306 20404.0 20404.0 0.0
26.0771198273 -182.871673584 -193.43951416 1.0738811528 157815.0 20404.0 0.956
26.0759754181 -182.852615356 -193.445556641 1.07381596529 157815.0 157815.0 0.0
26.0749530792 -182.795852661 -193.457672119 1.07267378683 157814.0 16354.0 0.644
26.0729961395 -182.750167847 -193.466522217 1.07181808251 15911.0 15911.0 0.0
26.0701751709 -182.611450195 -193.495101929 1.07249888265 16348.0 16348.0 0.0
26.0701713562 -182.611404419 -193.495117188 1.07249935923 31963.0 16348.0 0.996
26.0691814423 -182.599914551 -193.49810791 1.07261802818 31963.0 31963.0 0.0
26.0691795349 -182.599609375 -193.498184204 1.07261017391 16337.0 31963.0 0.996
26.068687439 -182.522476196 -193.517456055 1.07065445901 16337.0 16337.0 0.0
26.0597839355 -182.418899536 -193.5362854 1.06962164372 16332.0 16332.0 0.0
26.0588359833 -182.353713989 -193.549972534 1.07000223632 16780.0 17.0 0.204
26.0560340881 -182.319335938 -193.557678223 1.06953581316 16779.0 14979.0 0.384
26.054605484 -182.237930298 -193.57522583 1.06786129138 16387.0 16387.0 0.0
26.0467147827 -182.153060913 -193.590576172 1.06677759997 17273.0 17273.0 0.0
26.0460033417 -182.133407593 -193.594711304 1.06648975576 17270.0 16511.0 0.024
26.0362358093 -182.037094116 -193.615112305 1.06427362217 17266.0 17266.0 0.0
26.0347270966 -181.97064209 -193.634872437 1.06402371988 17698.0 17677.0 0.568
26.0320549011 -181.940841675 -193.644348145 1.06428265424 17698.0 17697.0 0.388
26.0271034241 -181.87651062 -193.664215088 1.06408338247 17697.0 16321.0 0.448
26.026971817 -181.855895996 -193.670410156 1.06393971748 17344.0 17723.0 0.396
26.0187110901 -181.739898682 -193.697753906 1.06440590295 98344.0 98344.0 0.0
26.0156002045 -181.713348389 -193.70463562 1.06430099324 98351.0 98351.0 0.0
26.0063972473 -181.584594727 -193.738143921 1.06347419236 18131.0 18131.0 0.0
26.0059013367 -181.571716309 -193.740814209 1.06383633833 17691.0 17788.0 0.068
26.0035953522 -181.554199219 -193.743713379 1.06361012803 56624.0 18451.0 0.94
25.9933261871 -181.420455933 -193.776748657 1.06322781714 18452.0 18452.0 0.0
25.9874649048 -181.324813843 -193.809020996 1.06297947595 18483.0 96407.0 0.408
25.9845142365 -181.296905518 -193.818847656 1.06355688074 18822.0 96407.0 0.392
25.9829654694 -181.279464722 -193.82409668 1.06381292628 18822.0 18827.0 0.212
25.98163414 -181.236984253 -193.835784912 1.06357203023 96406.0 96418.0 0.176
25.9796581268 -181.205932617 -193.843994141 1.06336752189 18474.0 18449.0 0.976
25.9699401855 -181.124649048 -193.867095947 1.0636344765 18219.0 18804.0 0.644
25.9667186737 -181.046859741 -193.893173218 1.06393635361 18473.0 18473.0 0.0
25.9646644592 -181.031677246 -193.897216797 1.06400427111 18806.0 18806.0 0.0
25.96052742 -180.960723877 -193.914916992 1.06187248905 18431.0 18431.0 0.0
25.9398708344 -180.827682495 -193.941726685 1.0627700368 18796.0 18796.0 0.0
25.9386310577 -180.791549683 -193.954727173 1.06180780412 18538.0 18538.0 0.0
25.925365448 -180.670349121 -193.991470337 1.0575739012 18662.0 18662.0 0.0
25.9190006256 -180.565063477 -194.010238647 1.0571741486 18974.0 17890.0 0.672
25.9184856415 -180.559921265 -194.011642456 1.05710342669 18897.0 19495.0 0.284
25.9166183472 -180.520446777 -194.019378662 1.05612683539 18897.0 14996.0 0.276
25.9062843323 -180.397781372 -194.04019165 1.0544116722 19474.0 19474.0 0.0
25.9037971497 -180.255935669 -194.071258545 1.05214233889 165015.0 17158.0 0.092
25.9030094147 -180.236541748 -194.076156616 1.05231865933 165017.0 165015.0 0.436
25.9030323029 -180.233184814 -194.07711792 1.05232875746 165019.0 165017.0 0.652
25.9031219482 -180.232589722 -194.077545166 1.05227919692 17559.0 165018.0 0.436
25.899766922 -180.107711792 -194.10836792 1.05234670427 19506.0 18663.0 0.304
25.8992023468 -180.07258606 -194.114028931 1.0527801033 19506.0 18739.0 0.908
25.89594841 -180.037857056 -194.119003296 1.05364757039 164709.0 164715.0 0.232
25.8925418854 -179.985076904 -194.13293457 1.05465616274 164714.0 164714.0 0.0
25.8931865692 -179.904174805 -194.149353027 1.05499264763 164717.0 164710.0 0.844
25.8901786804 -179.840896606 -194.164245605 1.05569859522 19509.0 55850.0 0.792
25.897977829 -179.709030151 -194.200759888 1.05759629861 1151.0 1151.0 0.0
25.9043178558 -179.654693604 -194.215133667 1.05717187451 20128.0 20128.0 0.0
25.9108524323 -179.585006714 -194.236526489 1.0555620809 20127.0 20127.0 0.0
25.9256744385 -179.465011597 -194.26725769 1.04896398363 5792.0 5792.0 0.0
25.9421691895 -179.382354736 -194.281967163 1.04467159387 23987.0 23987.0 0.0
25.9891700745 -179.187347412 -194.337936401 1.03032181685 24607.0 24607.0 0.0
26.0138225555 -179.129257202 -194.366867065 1.02208169917 19752.0 19763.0 0.692
26.0336933136 -179.09437561 -194.385253906 1.01494019172 20690.0 20690.0 0.0
26.0644378662 -179.03125 -194.411010742 1.00215794395 20653.0 20427.0 0.964
26.0853366852 -178.983230591 -194.422454834 0.994330058461 20655.0 20082.0 0.844
26.0948638916 -178.966201782 -194.431762695 0.990588520782 1014.0 20078.0 0.744
26.1691474915 -178.836853027 -194.486663818 0.96764834667 20853.0 20879.0 0.192
26.1751194 -178.824310303 -194.49156189 0.966286065776 20880.0 20881.0 0.828
26.2188968658 -178.752960205 -194.516662598 0.952705870593 1725.0 1725.0 0.0
26.2827835083 -178.629989624 -194.543487549 0.932326890395 20329.0 20639.0 0.076
26.2854309082 -178.625671387 -194.54397583 0.93162619568 20905.0 20875.0 0.916
26.3438110352 -178.541946411 -194.574142456 0.914775947753 15673.0 15673.0 0.0
26.4467144012 -178.387619019 -194.617553711 0.891347030016 21271.0 21271.0 0.0
26.4749660492 -178.347702026 -194.623397827 0.888136843607 21160.0 21385.0 0.032
26.4839897156 -178.334014893 -194.626464844 0.886697748366 21165.0 21345.0 0.272
26.5048294067 -178.306091309 -194.636611938 0.883206819458 21345.0 21036.0 0.052
26.5758876801 -178.221694946 -194.661071777 0.873122440626 21620.0 21620.0 0.0
26.580198288 -178.216171265 -194.661437988 0.872151135678 21269.0 21619.0 0.972
26.6635227203 -178.115371704 -194.687057495 0.858163046905 21637.0 21637.0 0.0
26.7387943268 -178.006378174 -194.699813843 0.84634334574 21679.0 21679.0 0.0
26.7940998077 -177.93901062 -194.701629639 0.840199090684 22023.0 22023.0 0.0
26.9246006012 -177.791946411 -194.715957642 0.834091374997 22026.0 22026.0 0.0
26.9861679077 -177.710571289 -194.716552734 0.83140832567 21861.0 21696.0 0.812
26.9949798584 -177.697860718 -194.717498779 0.830760995759 22225.0 678.0 0.676
27.0793132782 -177.599456787 -194.71913147 0.825200606659 22267.0 22142.0 0.436
27.1549758911 -177.519622803 -194.716873169 0.830095413015 22267.0 22248.0 0.924
27.1625995636 -177.512115479 -194.717712402 0.83044385043 22248.0 22248.0 0.0
