X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
-26.8602428436 -180.994308472 -100.242698669 0.552632076586 60783.0 60783.0 0.0
-26.7857551575 -181.026824951 -100.132514954 0.649331325664 60394.0 24727.0 0.58
-26.6880569458 -181.073318481 -100.047279358 0.729187118276 61609.0 61609.0 0.0
-26.6835021973 -181.073623657 -100.042152405 0.732123821708 61780.0 61408.0 0.024
-26.5562000275 -181.098556519 -99.9416732788 0.797694347994 61681.0 61681.0 0.0
-26.4719963074 -181.144042969 -99.8709487915 0.862105312683 61593.0 61593.0 0.0
-26.4486885071 -181.165359497 -99.8444213867 0.884024880879 59696.0 61603.0 0.792
-26.3543720245 -181.190841675 -99.7745513916 0.928326249693 61250.0 61250.0 0.0
-26.3540763855 -181.190841675 -99.774230957 0.928417461004 61722.0 61886.0 0.06
-26.3048992157 -181.193222046 -99.7361602783 0.932841138908 26373.0 26373.0 0.0
-26.0920810699 -181.189224243 -99.6302337646 0.951432805058 61310.0 61310.0 0.0
-26.0306797028 -181.181365967 -99.6017684937 0.9531751264 61703.0 61700.0 0.784
-25.9362602234 -181.174713135 -99.5666427612 0.954895304335 61483.0 59673.0 0.78
-25.811750412 -181.153518677 -99.513671875 0.961102087703 60993.0 61584.0 0.576
-25.7758159637 -181.145141602 -99.4975814819 0.964209105823 57227.0 61355.0 0.556
-25.7008571625 -181.117294312 -99.4654541016 0.968071380428 60680.0 60710.0 0.172
-25.6628246307 -181.106719971 -99.4524383545 0.971265116044 60991.0 60680.0 0.744
-25.5278587341 -181.055389404 -99.4269332886 0.97577826303 60508.0 60508.0 0.0
-25.4947338104 -181.047210693 -99.4202728271 0.977346337094 61243.0 25563.0 0.232
-25.4639625549 -181.038223267 -99.4126205444 0.977911704611 25563.0 25563.0 0.0
-25.3691177368 -181.005477905 -99.386680603 0.982229185631 60168.0 60168.0 0.0
-25.2509803772 -180.964981079 -99.3628463745 0.981679319631 60646.0 59887.0 0.256
-25.1164360046 -180.918762207 -99.3168487549 0.98448545972 60513.0 60210.0 0.832
-25.0832118988 -180.907791138 -99.3091964722 0.985272063325 60658.0 22978.0 0.716
-24.9449214935 -180.862258911 -99.2606277466 0.987912641658 59450.0 59450.0 0.0
-24.9220123291 -180.857040405 -99.2546005249 0.988014834279 60777.0 60777.0 0.0
-24.7215366364 -180.814834595 -99.1784820557 0.993793604743 58174.0 58174.0 0.0
-24.6731052399 -180.797424316 -99.1567993164 0.995454441721 60763.0 60523.0 0.56
-24.5568065643 -180.761566162 -99.1167373657 0.998950633747 59119.0 59119.0 0.0
-24.5347442627 -180.75541687 -99.106010437 0.998835161173 56062.0 58998.0 0.976
-24.4336833954 -180.732818604 -99.0570449829 1.00296492943 60526.0 60526.0 0.0
-24.3758945465 -180.716445923 -99.0289001465 1.00463516761 57072.0 59350.0 0.844
-24.3447875977 -180.708633423 -99.0157623291 1.00583279405 59350.0 25478.0 0.372
-24.2979831696 -180.698852539 -98.9966201782 1.00710885548 57252.0 59372.0 0.14
