X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
-28.0997810364 -190.449279785 -143.467391968 0.981924324487 15755.0 15755.0 0.0
-28.1031723022 -190.414657593 -143.493743896 1.01075877501 185911.0 63216.0 0.216
-28.1033000946 -190.41305542 -143.49508667 1.01207523471 190496.0 185911.0 0.828
-28.1460933685 -190.344009399 -143.502807617 1.01425006614 169964.0 190499.0 0.764
-28.1797046661 -190.299484253 -143.507278442 1.01532480397 222770.0 222768.0 0.552
-28.200056076 -190.272018433 -143.511657715 1.01579238454 222769.0 222771.0 0.22
-28.2075614929 -190.262329102 -143.512481689 1.01590226764 222769.0 185788.0 0.14
-28.2663784027 -190.153961182 -143.503204346 1.01560330243 215263.0 215263.0 0.0
-28.281747818 -190.12828064 -143.50680542 1.01630280071 210875.0 194345.0 0.9
-28.2985706329 -190.102920532 -143.509033203 1.01665402406 194345.0 68569.0 0.24
-28.3366184235 -190.042861938 -143.508468628 1.01627107439 171949.0 29087.0 0.492
-28.3796977997 -189.968933105 -143.510604858 1.01841441373 188758.0 188758.0 0.0
-28.3805618286 -189.968002319 -143.510864258 1.01845709495 68565.0 37282.0 0.988
-28.396987915 -189.945831299 -143.510803223 1.01812763079 170955.0 170955.0 0.0
-28.4700679779 -189.848297119 -143.527740479 1.018091601 193090.0 193089.0 0.764
-28.5059928894 -189.794082642 -143.538742065 1.01961075925 170958.0 193090.0 0.204
-28.542591095 -189.746490479 -143.547439575 1.02052954442 150724.0 170960.0 0.748
-28.544095993 -189.744430542 -143.548034668 1.0206505443 170960.0 144127.0 0.22
-28.6177101135 -189.642303467 -143.561019897 1.01951101152 150722.0 150722.0 0.0
-28.6457672119 -189.586624146 -143.559158325 1.02056566183 147193.0 200055.0 0.184
-28.6865577698 -189.518218994 -143.556625366 1.02229536971 200040.0 200040.0 0.0
-28.6883163452 -189.514938354 -143.556625366 1.02225810261 200041.0 200042.0 0.008
-28.7557048798 -189.403274536 -143.551528931 1.02048841883 184826.0 184826.0 0.0
-28.7798633575 -189.356735229 -143.550872803 1.02088040444 184823.0 192651.0 0.444
-28.7820663452 -189.352203369 -143.550888062 1.02089458001 200045.0 192651.0 0.504
-28.8516349792 -189.23109436 -143.545669556 1.02067996921 185317.0 185317.0 0.0
-28.8669700623 -189.206161499 -143.541503906 1.02082334932 211018.0 211018.0 0.0
-28.9191608429 -189.117248535 -143.539886475 1.01972005531 193145.0 193145.0 0.0
-28.9192752838 -189.117034912 -143.539901733 1.01971818782 193146.0 193145.0 0.992
-28.9333515167 -189.091049194 -143.541366577 1.01948661877 193146.0 193146.0 0.0
-29.0030899048 -188.970779419 -143.535339355 1.02017084737 50339.0 50339.0 0.0
-29.019203186 -188.939254761 -143.534240723 1.0215272556 192602.0 192602.0 0.0
-29.0599040985 -188.870422363 -143.533706665 1.02008153104 2466.0 2466.0 0.0
-29.1272029877 -188.75378418 -143.525512695 1.01975386611 200978.0 200978.0 0.0
-29.151506424 -188.709732056 -143.523162842 1.02009412539 200980.0 185234.0 0.72
-29.1915740967 -188.643280029 -143.520858765 1.01997119835 2981.0 200980.0 0.424
-29.2182388306 -188.591796875 -143.520690918 1.02032710098 68211.0 68211.0 0.0
-29.2707691193 -188.502975464 -143.514099121 1.0209593736 25313.0 25313.0 0.0
-29.2855987549 -188.473556519 -143.51322937 1.02091047927 142503.0 132649.0 0.156
-29.2880115509 -188.468765259 -143.513183594 1.02087328083 142503.0 142503.0 0.0
-29.3512306213 -188.360275269 -143.506378174 1.02036220072 186702.0 186702.0 0.0
-29.3701858521 -188.325195312 -143.505966187 1.02141914073 24654.0 24654.0 0.0
