X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
21.5719966888 -190.186019897 -125.507873535 0.765953341295 54941.0 54941.0 0.0
21.4989776611 -190.110366821 -125.626823425 0.8457719577 157741.0 157741.0 0.0
21.4965438843 -190.108230591 -125.630081177 0.848081592503 157743.0 157742.0 0.976
21.4249458313 -190.024749756 -125.745742798 0.925485879365 157740.0 157740.0 0.0
21.380033493 -189.983078003 -125.817855835 0.973786240184 139343.0 94248.0 0.592
21.3549289703 -189.951553345 -125.863052368 1.00392669783 94248.0 186728.0 0.612
21.3396835327 -189.931762695 -125.891807556 1.02287814266 186727.0 186728.0 0.844
21.299200058 -189.885986328 -125.954475403 1.0680462788 186727.0 186726.0 0.62
21.2721691132 -189.858474731 -125.996452332 1.09781135336 147368.0 186726.0 0.604
21.2572135925 -189.843673706 -126.013534546 1.11119697601 147367.0 147367.0 0.0
21.2426509857 -189.826828003 -126.03553772 1.12572172946 147365.0 147360.0 0.064
21.1247234344 -189.818618774 -126.128768921 1.12420408315 137268.0 137268.0 0.0
21.1111431122 -189.816543579 -126.141433716 1.12408685564 126693.0 138579.0 0.016
20.9790706635 -189.793777466 -126.218261719 1.11271762713 137264.0 137264.0 0.0
20.9129829407 -189.777526855 -126.263656616 1.11018301468 126699.0 126699.0 0.0
20.8444747925 -189.760971069 -126.298797607 1.1062764543 137259.0 137259.0 0.0
20.7537765503 -189.738571167 -126.358566284 1.10243457869 137261.0 137261.0 0.0
20.6926040649 -189.730789185 -126.398857117 1.0983472925 68371.0 68371.0 0.0
20.6922416687 -189.730712891 -126.399131775 1.09831460636 136589.0 68371.0 0.992
20.6473903656 -189.721130371 -126.433166504 1.09426152457 136589.0 136589.0 0.0
20.5965251923 -189.710693359 -126.464416504 1.09044119698 137161.0 137161.0 0.0
20.5078048706 -189.69833374 -126.518875122 1.08196631409 137159.0 137159.0 0.0
20.3955879211 -189.689620972 -126.623153687 1.07246309486 135846.0 135846.0 0.0
20.3454246521 -189.687393188 -126.65827179 1.06897312378 135755.0 135755.0 0.0
20.1858596802 -189.653244019 -126.748695374 1.05721429064 31832.0 31832.0 0.0
20.1361904144 -189.646865845 -126.795913696 1.05482360744 41618.0 41618.0 0.0
19.9972953796 -189.608200073 -126.88507843 1.04853249652 134590.0 124571.0 0.088
19.9929275513 -189.607421875 -126.887664795 1.0482954675 60568.0 134590.0 0.832
19.7873630524 -189.54006958 -127.005012512 1.0389443333 134583.0 103450.0 0.368
19.7431945801 -189.520858765 -127.032180786 1.04067994445 25063.0 100539.0 0.404
19.6962833405 -189.496185303 -127.060958862 1.04146224 134589.0 100531.0 0.452
19.6202735901 -189.465881348 -127.107040405 1.04220633624 37870.0 134589.0 0.208
19.5860977173 -189.450027466 -127.122329712 1.04082375224 62949.0 51104.0 0.596
19.5165939331 -189.411758423 -127.192993164 1.04679836805 51106.0 62952.0 0.736
19.4362792969 -189.358718872 -127.242141724 1.05273848897 37872.0 21363.0 0.332
19.3244743347 -189.300613403 -127.308166504 1.06254265873 110324.0 111698.0 0.72
19.2547645569 -189.255432129 -127.347633362 1.07122107475 102880.0 13619.0 0.756
19.241399765 -189.24710083 -127.352264404 1.07266914965 13619.0 13619.0 0.0
19.2034835815 -189.222396851 -127.367416382 1.07748672901 31238.0 131065.0 0.636
19.1968460083 -189.218566895 -127.37046051 1.07821334235 64852.0 64852.0 0.0
19.1947879791 -189.21723938 -127.371269226 1.07838979674 135219.0 64852.0 0.956
19.1500587463 -189.188461304 -127.388870239 1.08222366931 135219.0 135219.0 0.0
19.1252346039 -189.17098999 -127.399513245 1.08464230518 38832.0 132397.0 0.212
19.1214580536 -189.168212891 -127.400856018 1.08498468626 133933.0 132397.0 0.972
19.0751209259 -189.132049561 -127.418273926 1.08899581218 133933.0 133933.0 0.0
19.0632476807 -189.121688843 -127.423469543 1.0898681301 133932.0 132853.0 0.064
19.0170555115 -189.0831604 -127.444458008 1.0942952016 135225.0 132853.0 0.884
18.9594345093 -189.03767395 -127.464996338 1.10110344147 135225.0 135224.0 0.4
18.9376945496 -189.022903442 -127.474731445 1.10355016377 135224.0 135224.0 0.0
18.9375305176 -189.022781372 -127.474815369 1.1035706067 135230.0 135224.0 0.996
18.8965835571 -188.991363525 -127.495033264 1.10866089536 135230.0 135230.0 0.0
18.850315094 -188.951858521 -127.514671326 1.11382041584 133399.0 132854.0 0.452
18.8315639496 -188.936004639 -127.520606995 1.1156875365 133399.0 133399.0 0.0
18.7938709259 -188.904556274 -127.536109924 1.11959191337 103943.0 133397.0 0.596
18.765209198 -188.882553101 -127.549827576 1.1221835007 103943.0 103943.0 0.0
18.7238674164 -188.845397949 -127.570075989 1.12536538754 135705.0 134428.0 0.508
