X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
-27.9936542511 -193.155426025 -153.803970337 0.387077479462 266991.0 266991.0 0.0
-27.9780330658 -193.11895752 -153.796478271 0.387528299215 323017.0 323017.0 0.0
-27.977437973 -193.118057251 -153.796295166 0.387523035236 323018.0 498362.0 0.016
-27.960067749 -193.091751099 -153.789550781 0.386325306403 498362.0 498363.0 0.852
-27.9568843842 -193.08682251 -153.788726807 0.386368445306 498363.0 280832.0 0.096
-27.9243106842 -193.037872314 -153.780273438 0.386844053272 280834.0 280834.0 0.0
-27.8890151978 -192.983551025 -153.769485474 0.38672571233 361861.0 361861.0 0.0
-27.8764610291 -192.961196899 -153.766952515 0.387602272046 256735.0 361867.0 0.032
-27.875202179 -192.959014893 -153.766433716 0.387554809643 617920.0 256735.0 0.824
-27.8691101074 -192.949050903 -153.764053345 0.387378189821 617920.0 617920.0 0.0
-27.8690853119 -192.949005127 -153.764038086 0.387378158936 617918.0 617920.0 0.996
-27.8627872467 -192.938583374 -153.761795044 0.387370468661 617918.0 617918.0 0.0
-27.8545513153 -192.924560547 -153.759185791 0.387565116141 617917.0 617917.0 0.0
-27.8336429596 -192.890975952 -153.751205444 0.38615163536 543914.0 543914.0 0.0
-27.7980365753 -192.838592529 -153.742614746 0.387472197374 490641.0 490641.0 0.0
-27.7563838959 -192.774337769 -153.729492188 0.387537092128 329120.0 329120.0 0.0
-27.7449035645 -192.761398315 -153.727432251 0.386999826859 500588.0 500589.0 0.868
-27.743183136 -192.759033203 -153.726959229 0.38690204475 500589.0 612570.0 0.016
-27.706199646 -192.705032349 -153.718688965 0.387100596799 612568.0 612568.0 0.0
-27.6992645264 -192.693664551 -153.715301514 0.387205920848 612574.0 612573.0 0.992
-27.667673111 -192.640533447 -153.706466675 0.387411673657 316208.0 316208.0 0.0
-27.6675701141 -192.640441895 -153.706466675 0.387413256082 342667.0 483057.0 0.004
-27.6526031494 -192.619934082 -153.701416016 0.387223272341 483059.0 483057.0 0.336
-27.6408367157 -192.602432251 -153.698959351 0.386917822824 298006.0 483059.0 0.52
-27.6124515533 -192.556274414 -153.688217163 0.386382214454 316366.0 316366.0 0.0
-27.582780838 -192.512542725 -153.682449341 0.386478796471 483052.0 483052.0 0.0
-27.5684452057 -192.493484497 -153.678131104 0.38613174572 483051.0 483049.0 0.228
-27.5445842743 -192.455352783 -153.671569824 0.386311880569 483050.0 483050.0 0.0
-27.5347099304 -192.441223145 -153.668441772 0.385858472602 466447.0 466446.0 0.84
-27.5048179626 -192.38583374 -153.657714844 0.387153931568 356240.0 356240.0 0.0
-27.4792861938 -192.340621948 -153.647216797 0.386954921998 328931.0 423396.0 0.22
-27.4727725983 -192.329025269 -153.644882202 0.387105717661 284600.0 284600.0 0.0
-27.4326171875 -192.259567261 -153.63130188 0.388417507438 532596.0 532596.0 0.0
-27.4321155548 -192.258682251 -153.631240845 0.388429231906 423400.0 532597.0 0.004
-27.3880939484 -192.192092896 -153.617385864 0.38712921075 423395.0 423395.0 0.0
-27.3800449371 -192.181762695 -153.616485596 0.387528844588 328930.0 328930.0 0.0
-27.3383178711 -192.117370605 -153.604629517 0.387833638451 274692.0 274692.0 0.0
-27.3336620331 -192.110397339 -153.602355957 0.387861038379 312314.0 312314.0 0.0
-27.2970199585 -192.040603638 -153.588562012 0.387614479119 312310.0 285054.0 0.096
-27.2953166962 -192.037506104 -153.587631226 0.387686454119 262196.0 312310.0 0.568
-27.2922267914 -192.032424927 -153.58631897 0.387653010893 611397.0 611397.0 0.0
-27.2522659302 -191.968551636 -153.575302124 0.387812381124 611396.0 611396.0 0.0
-27.2437057495 -191.95866394 -153.572402954 0.387736893777 552772.0 552772.0 0.0
-27.2437000275 -191.958648682 -153.572402954 0.387736304726 592274.0 592274.0 0.0
-27.2077789307 -191.901199341 -153.562561035 0.386865427359 592282.0 592279.0 0.596
-27.1968135834 -191.884384155 -153.557662964 0.386871330285 627171.0 467193.0 0.92
-27.1602344513 -191.827178955 -153.549026489 0.387475944206 627178.0 627178.0 0.0
-27.1571617126 -191.822906494 -153.547836304 0.387457533453 627174.0 627177.0 0.988
-27.1513671875 -191.814727783 -153.545898438 0.387315284341 627174.0 460305.0 0.94
-27.1289463043 -191.781646729 -153.539871216 0.387525810197 608584.0 608584.0 0.0
-27.1288394928 -191.781494141 -153.539840698 0.387536612192 608585.0 608584.0 0.976
-27.1245269775 -191.775100708 -153.538772583 0.387975893319 608585.0 608585.0 0.0
-27.1195087433 -191.768295288 -153.536758423 0.387761289559 233432.0 242433.0 0.884
-27.0751495361 -191.703979492 -153.525344849 0.387401427684 284648.0 284648.0 0.0
-27.0751209259 -191.703933716 -153.525344849 0.387401697428 284252.0 284648.0 0.992
-27.071521759 -191.698165894 -153.524978638 0.38743514563 284252.0 284252.0 0.0
-27.070930481 -191.697311401 -153.52482605 0.387432484381 460385.0 284252.0 0.984
-27.0345840454 -191.644638062 -153.515487671 0.38726881755 460385.0 460385.0 0.0
-27.0311717987 -191.63973999 -153.513977051 0.387225550407 460383.0 415044.0 0.048
-26.993637085 -191.576858521 -153.501266479 0.387259064537 460386.0 460386.0 0.0
-26.9919052124 -191.573577881 -153.500961304 0.387257721572 460388.0 460387.0 0.996
-26.9484939575 -191.506103516 -153.488388062 0.387339872382 240509.0 240509.0 0.0
-26.942325592 -191.495391846 -153.486923218 0.387504275772 239920.0 240505.0 0.092
-26.9140491486 -191.449188232 -153.477554321 0.387802004697 86216.0 86216.0 0.0
-26.9113426208 -191.444778442 -153.476119995 0.38769647824 222160.0 316162.0 0.748
-26.8695678711 -191.374664307 -153.462081909 0.38742616488 316164.0 316164.0 0.0
-26.867193222 -191.368103027 -153.459655762 0.387459718223 336075.0 336075.0 0.0
-26.8295173645 -191.310806274 -153.449951172 0.387119957665 387853.0 387853.0 0.0
-26.8066120148 -191.268280029 -153.441741943 0.387279211804 426330.0 426330.0 0.0
-26.7722873688 -191.219665527 -153.432144165 0.386932235868 500737.0 500737.0 0.0
-26.7671127319 -191.209594727 -153.429443359 0.386897744983 501995.0 361220.0 0.908
-26.7369327545 -191.16267395 -153.421875 0.386749456384 501998.0 501997.0 0.208
-26.7318840027 -191.155410767 -153.419876099 0.38676341567 208508.0 501998.0 0.544
-26.6966514587 -191.107116699 -153.412475586 0.386552238216 612201.0 612201.0 0.0
-26.6949520111 -191.104766846 -153.411865234 0.386466160747 612200.0 612198.0 0.028
-26.6529102325 -191.031890869 -153.396835327 0.387426810354 627015.0 627015.0 0.0
-26.6527442932 -191.031661987 -153.396759033 0.38742382165 627014.0 627013.0 0.004
-26.6068077087 -190.968444824 -153.38710022 0.386479823151 261247.0 259323.0 0.208
-26.6019477844 -190.961532593 -153.38494873 0.386611769665 243413.0 243413.0 0.0
-26.5772190094 -190.919281006 -153.375854492 0.386506075294 364929.0 364929.0 0.0
-26.5715084076 -190.907684326 -153.37437439 0.386364015586 484339.0 484340.0 0.208
-26.5285625458 -190.837738037 -153.360046387 0.387128285597 484337.0 484337.0 0.0
-26.5044403076 -190.797546387 -153.351745605 0.386214837612 436570.0 436570.0 0.0
-26.5043983459 -190.797470093 -153.351730347 0.386217754014 316126.0 436570.0 0.984
-26.5018100739 -190.793060303 -153.350723267 0.386397112712 316126.0 316126.0 0.0
-26.4926815033 -190.773544312 -153.345870972 0.387729012758 303744.0 303744.0 0.0
-26.4507312775 -190.705444336 -153.331604004 0.386416480211 411360.0 411360.0 0.0
-26.4349880219 -190.673629761 -153.325897217 0.38677360231 629319.0 629319.0 0.0
-26.4188632965 -190.648849487 -153.320556641 0.387125925231 411361.0 411361.0 0.0
-26.4128990173 -190.637649536 -153.318084717 0.387703134998 22546.0 262167.0 0.368
-26.4070110321 -190.627304077 -153.317108154 0.387531140514 265230.0 260946.0 0.704
-26.3690567017 -190.565979004 -153.30456543 0.38741982627 489272.0 489272.0 0.0
-26.3664207458 -190.562164307 -153.303833008 0.387282143977 489273.0 489271.0 0.116
-26.3485488892 -190.534667969 -153.298049927 0.386153684529 198765.0 489271.0 0.908
-26.3255577087 -190.497299194 -153.292678833 0.386593469138 207384.0 207377.0 0.54
-26.3098506927 -190.473495483 -153.286300659 0.386661422644 207387.0 207385.0 0.76
-26.2804641724 -190.427505493 -153.279968262 0.387120216101 503830.0 503831.0 0.696
-26.2692108154 -190.41116333 -153.27532959 0.387034055367 503830.0 503832.0 0.756
-26.264787674 -190.404663086 -153.273651123 0.386900426767 500762.0 503832.0 0.744
-26.2331142426 -190.358093262 -153.266998291 0.38681894144 498282.0 498282.0 0.0
-26.2251338959 -190.347427368 -153.264160156 0.386709024451 266554.0 489260.0 0.876
-26.192779541 -190.295547485 -153.254821777 0.386842559445 627854.0 627854.0 0.0
-26.1853199005 -190.283752441 -153.251525879 0.386499250578 627856.0 627856.0 0.0
-26.1544151306 -190.232650757 -153.241653442 0.386650943343 266557.0 266557.0 0.0
-26.1478919983 -190.220733643 -153.240081787 0.386905052472 266549.0 250153.0 0.96
-26.1218738556 -190.181289673 -153.231567383 0.386373228953 553090.0 553090.0 0.0
-26.0901012421 -190.134124756 -153.223205566 0.386769807611 284555.0 284555.0 0.0
-26.0696239471 -190.099594116 -153.217529297 0.386786493507 624827.0 624827.0 0.0
-26.0571365356 -190.080825806 -153.212921143 0.386180467684 368152.0 500168.0 0.752
-26.0301246643 -190.032852173 -153.203460693 0.38702977778 624697.0 624697.0 0.0
