X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
-98.1601638794 -147.838546753 -203.228530884 0.860936254409 263626.0 263626.0 0.0
-98.1465072632 -147.848937988 -203.211181641 0.875454544711 263627.0 167258.0 0.144
-98.1441268921 -147.851547241 -203.209274292 0.876982573786 263622.0 263627.0 0.98
-98.0820388794 -147.943862915 -203.16368103 0.909936563842 263628.0 144853.0 0.236
-98.0726776123 -147.955368042 -203.157684326 0.914176195747 261277.0 261277.0 0.0
-98.0391082764 -148.012451172 -203.13822937 0.924946218323 263682.0 13140.0 0.512
-98.0028533936 -148.071868896 -203.122497559 0.937159410429 263681.0 263681.0 0.0
-97.9618377686 -148.126708984 -203.109817505 0.94782291885 224483.0 261270.0 0.216
-97.9578094482 -148.133392334 -203.108688354 0.948515865249 261264.0 261270.0 0.092
-97.9539108276 -148.140060425 -203.107788086 0.949248129731 261264.0 260601.0 0.08
-97.9231719971 -148.196929932 -203.095855713 0.956451091766 260601.0 21116.0 0.036
-97.9037704468 -148.228012085 -203.08631897 0.959501881219 179738.0 260036.0 0.94
-97.8541107178 -148.319793701 -203.060821533 0.969927230981 259455.0 259457.0 0.156
-97.8460617065 -148.336975098 -203.055740356 0.972047623696 259456.0 259455.0 0.38
-97.8232955933 -148.392913818 -203.042312622 0.978245118085 149280.0 259490.0 0.1
-97.7831039429 -148.472854614 -203.018096924 0.987821592796 246738.0 246739.0 0.212
-97.7445983887 -148.546981812 -203.006195068 0.998410373622 246740.0 258914.0 0.092
-97.7395248413 -148.556442261 -203.005355835 0.999782341026 171543.0 171539.0 0.988
-97.7391204834 -148.557113647 -203.005249023 0.99985330554 171317.0 171539.0 0.944
-97.7055130005 -148.614318848 -203.004333496 1.00202837086 9207.0 9207.0 0.0
-97.6380844116 -148.731460571 -202.984680176 1.01295655262 232518.0 232518.0 0.0
-97.6328964233 -148.741119385 -202.981323242 1.01344707456 232512.0 232512.0 0.0
-97.5497055054 -148.893829346 -202.954071045 1.02393234231 258338.0 258338.0 0.0
-97.5395736694 -148.912490845 -202.951522827 1.02454445722 258337.0 258345.0 0.984
-97.5394668579 -148.91267395 -202.95149231 1.02454460815 258345.0 258345.0 0.0
-97.4455413818 -149.067016602 -202.953140259 1.02916525614 258901.0 200675.0 0.652
-97.4356994629 -149.080947876 -202.952697754 1.02991018179 172865.0 78814.0 0.032
-97.4345779419 -149.082382202 -202.952606201 1.02992046079 258898.0 172865.0 0.912
-97.421546936 -149.103561401 -202.948776245 1.02984490155 246321.0 258898.0 0.904
-97.3577346802 -149.209854126 -202.939956665 1.02904465719 262322.0 137565.0 0.976
-97.3491897583 -149.221984863 -202.938232422 1.02938631093 137565.0 174285.0 0.14
-97.300201416 -149.300369263 -202.91947937 1.03202089647 174285.0 174285.0 0.0
-97.2861175537 -149.327209473 -202.913986206 1.03340804158 211362.0 164698.0 0.684
-97.2540206909 -149.384750366 -202.904647827 1.03543640527 211362.0 192898.0 0.196
-97.2126617432 -149.446136475 -202.895233154 1.03660201256 257211.0 258227.0 0.008
-97.1756515503 -149.512084961 -202.887771606 1.03748634667 196695.0 128646.0 0.772
-97.1126022339 -149.610610962 -202.867218018 1.03984412046 261641.0 261641.0 0.0
-97.1124649048 -149.610839844 -202.867172241 1.03986246205 257860.0 261641.0 0.996
-97.0780410767 -149.669494629 -202.8568573 1.0444295171 257860.0 257860.0 0.0
-97.0771484375 -149.670791626 -202.856582642 1.04448887965 261635.0 261635.0 0.0
-97.0176010132 -149.774459839 -202.842178345 1.04479054758 257212.0 257212.0 0.0
-96.9688949585 -149.862091064 -202.8152771 1.04764278033 164692.0 164692.0 0.0
-96.9305114746 -149.919372559 -202.794204712 1.04967214598 213084.0 213084.0 0.0
-96.8708343506 -150.029296875 -202.759841919 1.05382298966 62392.0 62392.0 0.0
-96.8225708008 -150.112136841 -202.731262207 1.05462971028 118152.0 118152.0 0.0
-96.7802505493 -150.178955078 -202.707015991 1.05321437677 198205.0 198205.0 0.0
-96.6897583008 -150.302398682 -202.642272949 1.05189853428 198508.0 198508.0 0.0
-96.6644897461 -150.335983276 -202.627807617 1.05137936112 258798.0 158855.0 0.62
-96.6199798584 -150.394287109 -202.599304199 1.05049938592 258799.0 258799.0 0.0
-96.5662231445 -150.46395874 -202.5703125 1.0473759402 256559.0 256559.0 0.0
-96.5055847168 -150.535385132 -202.542831421 1.04327598823 258812.0 86165.0 0.996
-96.434135437 -150.609436035 -202.500350952 1.03893482285 207575.0 207575.0 0.0
-96.3693618774 -150.686477661 -202.467575073 1.03752976071 182902.0 258817.0 0.332
-96.3595733643 -150.696624756 -202.46295166 1.03731144278 182902.0 207578.0 0.5
-96.330581665 -150.725021362 -202.449234009 1.03669502475 207578.0 207579.0 0.872
-96.3171386719 -150.739425659 -202.443099976 1.03610306623 207579.0 194228.0 0.484
-96.2991409302 -150.758163452 -202.434005737 1.03486974001 202881.0 202881.0 0.0
-96.1695327759 -150.898788452 -202.35067749 1.03143284295 254530.0 50204.0 0.596
-96.1581878662 -150.909545898 -202.342193604 1.03145324976 118904.0 193526.0 0.668
-96.0841903687 -150.989379883 -202.2943573 1.03293738902 253906.0 253906.0 0.0
-96.0695800781 -151.009384155 -202.283004761 1.03245025361 236953.0 253910.0 0.892
-95.9734802246 -151.115859985 -202.226333618 1.02937137881 256672.0 256672.0 0.0
