X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
-47.3383102417 -177.228561401 -124.938568115 1.70300387834 52054.0 52054.0 0.0
-47.3384361267 -177.228652954 -124.938697815 1.70299267563 51435.0 52054.0 0.992
-47.3539276123 -177.239089966 -124.954376221 1.70160353882 51435.0 51435.0 0.0
-47.3741760254 -177.252426147 -124.975990295 1.69996801444 51626.0 51626.0 0.0
-47.3743362427 -177.2525177 -124.976211548 1.69994501461 51318.0 51626.0 0.992
-47.3940734863 -177.263870239 -125.003501892 1.69709303479 51318.0 51318.0 0.0
-47.4150009155 -177.275695801 -125.033317566 1.69462671495 52457.0 52457.0 0.0
-47.4152793884 -177.290298462 -125.046134949 1.68420352176 51906.0 50868.0 0.992
-47.4185447693 -177.323257446 -125.071922302 1.66234756284 52450.0 52248.0 0.024
-46.2897148132 -178.518066406 -125.406288147 0.530496240402 52268.0 52268.0 0.0
-46.2298469543 -178.562210083 -125.422592163 0.537360466727 52308.0 52307.0 0.408
-46.142868042 -178.671569824 -125.461669922 0.540031245891 52303.0 51621.0 0.772
-46.079044342 -178.718185425 -125.49079895 0.541384604777 51494.0 51494.0 0.0
-45.9732170105 -178.825744629 -125.531951904 0.552052195578 52076.0 52076.0 0.0
-45.9019050598 -178.93309021 -125.588012695 0.568439496359 51839.0 51624.0 0.076
-45.8984260559 -178.935684204 -125.590370178 0.568428429109 51839.0 50873.0 0.04
-45.8103370667 -179.007141113 -125.641540527 0.564457000894 50873.0 51647.0 0.804
-45.6623001099 -179.154418945 -125.691291809 0.58063000845 51860.0 51860.0 0.0
-45.6305160522 -179.189697266 -125.702919006 0.58429109452 51861.0 51859.0 0.58
-45.5640335083 -179.248214722 -125.718093872 0.584650368865 51835.0 51836.0 0.62
-45.5519142151 -179.256637573 -125.718261719 0.584690258171 51628.0 51836.0 0.52
-45.5357894897 -179.26713562 -125.720703125 0.583007603738 51628.0 51646.0 0.052
