X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
-37.7611503601 -151.199035645 -127.783622742 0.656675648131 79565.0 79565.0 0.0
-37.7324867249 -151.20425415 -127.772361755 0.676785255049 79531.0 79531.0 0.0
-37.732334137 -151.204284668 -127.772331238 0.676883900806 23398.0 79531.0 0.996
-37.6943321228 -151.211334229 -127.764030457 0.701446694349 23398.0 23398.0 0.0
-37.6940193176 -151.211364746 -127.763931274 0.701658438578 917.0 23398.0 0.996
-37.6159210205 -151.217605591 -127.738800049 0.754382751774 917.0 917.0 0.0
-37.6158561707 -151.217605591 -127.73878479 0.754425476868 2408.0 917.0 0.988
-37.6104469299 -151.218032837 -127.737670898 0.757943176275 2408.0 2408.0 0.0
-37.5654067993 -151.232696533 -127.723358154 0.784530739254 64815.0 64815.0 0.0
-37.4953613281 -151.264968872 -127.695297241 0.819733284032 64330.0 64811.0 0.556
-37.454750061 -151.289550781 -127.674499512 0.837640842607 12478.0 6583.0 0.788
-37.4513015747 -151.291534424 -127.672142029 0.839228108241 12477.0 6583.0 0.792
-37.3961639404 -151.322219849 -127.640144348 0.863330921147 71417.0 71419.0 0.436
-37.3414154053 -151.356414795 -127.614578247 0.885436485917 71421.0 71422.0 0.376
-37.2801208496 -151.39201355 -127.575782776 0.911128618472 71422.0 71420.0 0.976
-37.2789916992 -151.393157959 -127.57484436 0.91141599848 71407.0 71420.0 0.992
-37.231628418 -151.442398071 -127.547058105 0.921577936817 42611.0 42611.0 0.0
-37.1437225342 -151.538146973 -127.478233337 0.942323996082 63923.0 63923.0 0.0
-37.1231575012 -151.565444946 -127.465332031 0.945523189516 2277.0 80658.0 0.916
-37.0621910095 -151.652862549 -127.40914917 0.951234963689 80654.0 80654.0 0.0
-37.0367889404 -151.692703247 -127.388038635 0.950634024077 68978.0 68978.0 0.0
-36.9651222229 -151.817260742 -127.316055298 0.951739166535 80841.0 80841.0 0.0
-36.960773468 -151.823287964 -127.311950684 0.951546761863 80830.0 80830.0 0.0
-36.88671875 -151.950088501 -127.236495972 0.951247898551 60623.0 60623.0 0.0
-36.8823509216 -151.958206177 -127.232559204 0.951379759056 71456.0 71456.0 0.0
-36.8712348938 -151.980026245 -127.220741272 0.950725302235 71455.0 67102.0 0.232
-36.8390464783 -152.038101196 -127.186294556 0.949174172139 22192.0 22192.0 0.0
-36.8007888794 -152.101379395 -127.14768219 0.950295484907 67138.0 67138.0 0.0
-36.7715911865 -152.156280518 -127.117042542 0.950034485674 65137.0 17816.0 0.484
-36.7396469116 -152.210693359 -127.086746216 0.950711790057 65136.0 65136.0 0.0
-36.6942520142 -152.28956604 -127.037200928 0.949431680155 65134.0 65134.0 0.0
-36.6542625427 -152.355514526 -126.996856689 0.951668729703 67408.0 1988.0 0.86
-36.6481971741 -152.365829468 -126.991600037 0.951732802085 9364.0 1124.0 0.016
-36.6154403687 -152.428390503 -126.955459595 0.950738601897 28414.0 28414.0 0.0
-36.5907554626 -152.471069336 -126.930702209 0.952024655666 62189.0 62186.0 0.32
-36.5816078186 -152.485275269 -126.921905518 0.952216703339 1981.0 1981.0 0.0
-36.5434265137 -152.549407959 -126.886398315 0.949972984312 64999.0 64999.0 0.0
-36.4965820312 -152.634216309 -126.834037781 0.951667486339 64096.0 64096.0 0.0
-36.4964408875 -152.63444519 -126.833938599 0.951667419165 27832.0 28398.0 0.024
-36.4235343933 -152.758834839 -126.761024475 0.95125917564 38551.0 38551.0 0.0
-36.4006919861 -152.799835205 -126.738189697 0.950652082485 68884.0 59838.0 0.484
-36.3789596558 -152.836700439 -126.718521118 0.949932609384 80814.0 80814.0 0.0
-36.3376617432 -152.910873413 -126.672218323 0.950317726813 55156.0 55156.0 0.0
-36.2872047424 -152.99822998 -126.625419617 0.950201115502 80822.0 80823.0 0.18
-36.2830238342 -153.005249023 -126.621742249 0.950616841154 80809.0 80813.0 0.34
-36.2695007324 -153.030212402 -126.606079102 0.950355927747 80813.0 67210.0 0.592
-36.2623977661 -153.044128418 -126.597488403 0.950077443019 67210.0 67210.0 0.0
-36.215259552 -153.12197876 -126.551856995 0.949412598417 66156.0 66156.0 0.0
-36.1949005127 -153.158905029 -126.52897644 0.949340553196 59602.0 45812.0 0.664
-36.1858978271 -153.175933838 -126.518409729 0.949291779595 45812.0 73977.0 0.076
-36.1646461487 -153.211975098 -126.496261597 0.949945877735 73977.0 73986.0 0.424
-36.1419487 -153.252044678 -126.475593567 0.949482642371 79702.0 79702.0 0.0
-36.0954856873 -153.333389282 -126.427589417 0.949552539569 79704.0 79704.0 0.0
-36.0745849609 -153.366653442 -126.408599854 0.949716526277 34312.0 65379.0 0.228
-36.0348777771 -153.437408447 -126.364555359 0.950094068378 66138.0 66138.0 0.0
-35.995223999 -153.508911133 -126.325019836 0.950893404623 66133.0 66133.0 0.0
-35.9819030762 -153.531677246 -126.310798645 0.951069271431 27458.0 27458.0 0.0
-35.9548797607 -153.580841064 -126.284049988 0.949585340811 63993.0 63993.0 0.0
-35.9411506653 -153.608016968 -126.26789093 0.947659961587 63872.0 63997.0 0.096
-35.8697471619 -153.749755859 -126.19644928 0.944976499812 63895.0 63895.0 0.0
-35.8623428345 -153.763458252 -126.19065094 0.944736836961 75526.0 75526.0 0.0
-35.8251266479 -153.831314087 -126.155166626 0.943274264347 75523.0 75523.0 0.0
-35.7879142761 -153.907180786 -126.117370605 0.943751456756 63779.0 63779.0 0.0
-35.72681427 -154.01914978 -126.052597046 0.942537428201 63778.0 63778.0 0.0
-35.6802520752 -154.104446411 -126.007904053 0.945144258713 63686.0 63686.0 0.0
