X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
9.80444335938 -159.690048218 -213.300811768 0.599561800691 132526.0 132526.0 0.0
9.86145877838 -159.734832764 -213.295410156 0.599002370018 96333.0 96333.0 0.0
9.9006319046 -159.774780273 -213.290802002 0.600526208044 62643.0 44553.0 0.912
9.91606235504 -159.789855957 -213.287277222 0.600519202172 44553.0 59871.0 0.308
9.94668769836 -159.815826416 -213.284896851 0.60076983611 66835.0 66835.0 0.0
10.0627393723 -159.921310425 -213.272415161 0.599718392765 96303.0 953.0 0.264
10.0874481201 -159.939437866 -213.266983032 0.599537555961 957.0 66831.0 0.096
10.2189769745 -160.046524048 -213.266357422 0.602769642047 80863.0 80863.0 0.0
10.2458610535 -160.066390991 -213.271255493 0.60370695647 92015.0 92015.0 0.0
10.3406410217 -160.147201538 -213.266372681 0.606309233172 95592.0 87341.0 0.356
10.3745241165 -160.180664062 -213.267089844 0.609651122754 87341.0 25116.0 0.676
10.3946485519 -160.19770813 -213.266387939 0.610768616872 25116.0 80445.0 0.412
10.4278450012 -160.222717285 -213.263275146 0.61187831546 48571.0 80445.0 0.416
10.4957265854 -160.279571533 -213.260375977 0.617392120277 64320.0 64320.0 0.0
10.5560121536 -160.332168579 -213.267181396 0.626499642479 60203.0 80079.0 0.164
10.5674953461 -160.341156006 -213.267868042 0.627804778584 60203.0 45827.0 0.276
10.6134967804 -160.385848999 -213.272674561 0.633041597554 109647.0 60210.0 0.7
10.6887674332 -160.454116821 -213.2684021 0.64590090729 109648.0 109648.0 0.0
10.7396430969 -160.495620728 -213.26890564 0.653326746068 94388.0 94388.0 0.0
10.7737054825 -160.527328491 -213.270248413 0.658116512208 94391.0 94391.0 0.0
10.7741298676 -160.527679443 -213.270248413 0.65817399124 94389.0 94391.0 0.984
10.8002347946 -160.549636841 -213.269989014 0.661708951672 94389.0 94389.0 0.0
10.8635730743 -160.616271973 -213.264221191 0.67516049828 94381.0 94381.0 0.0
10.9236497879 -160.681793213 -213.260299683 0.686674370589 70763.0 70762.0 0.736
10.9445486069 -160.703231812 -213.259811401 0.690612498947 70762.0 70762.0 0.0
11.0041894913 -160.756896973 -213.255218506 0.706328227867 94396.0 94382.0 0.08
11.0090475082 -160.762374878 -213.255126953 0.707244777096 94396.0 88809.0 0.208
11.0338640213 -160.795074463 -213.249160767 0.71074012601 66748.0 70757.0 0.168
11.0391464233 -160.802841187 -213.248596191 0.711075570854 91032.0 66748.0 0.66
11.0520210266 -160.816818237 -213.249099731 0.712201103213 91032.0 91032.0 0.0
11.0521593094 -160.816986084 -213.24911499 0.712208848806 91033.0 91032.0 0.992
11.0692958832 -160.837554932 -213.250915527 0.713169302309 91033.0 91033.0 0.0
11.094836235 -160.870819092 -213.255081177 0.714638321185 66466.0 66466.0 0.0
11.1461629868 -160.948913574 -213.251983643 0.71692304937 88795.0 88795.0 0.0
11.2211170197 -161.071838379 -213.255844116 0.712729981844 60713.0 60713.0 0.0
11.2617177963 -161.12071228 -213.266571045 0.718364863427 90629.0 90629.0 0.0
11.2903718948 -161.167190552 -213.278457642 0.717140728583 70767.0 1214.0 0.032
11.2957277298 -161.175445557 -213.279830933 0.716939191201 60714.0 70767.0 0.892
11.3294467926 -161.245346069 -213.285217285 0.711054750296 60709.0 60709.0 0.0
11.3528308868 -161.288894653 -213.288253784 0.707423122094 30326.0 30326.0 0.0
11.3910970688 -161.401977539 -213.299484253 0.694999881811 36174.0 36174.0 0.0
11.4402170181 -161.51499939 -213.332046509 0.672781738872 85794.0 85794.0 0.0
11.4911432266 -161.667785645 -213.352676392 0.653479346223 85798.0 85798.0 0.0
11.4955511093 -161.681671143 -213.356063843 0.652569669405 74417.0 85801.0 0.072
11.5211400986 -161.789840698 -213.378112793 0.647225444045 51319.0 91960.0 0.852
11.5648651123 -161.890640259 -213.408721924 0.643616094763 73260.0 91462.0 0.736
11.5794811249 -161.93006897 -213.423034668 0.642833829628 36173.0 36173.0 0.0
