X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
-4.58898067474 -175.685165405 -101.756614685 1.22363846584 181029.0 181029.0 0.0
-4.60019636154 -175.669525146 -101.714851379 1.2544571746 205636.0 205635.0 0.356
-4.60521697998 -175.665100098 -101.696289062 1.2675406901 254383.0 205636.0 0.884
-4.73434209824 -175.660644531 -101.617713928 1.27047115251 138417.0 138417.0 0.0
-4.73437786102 -175.660644531 -101.617698669 1.27047164523 149638.0 138417.0 0.996
-4.74332523346 -175.659744263 -101.613327026 1.2705943324 149638.0 149638.0 0.0
-4.86269760132 -175.64630127 -101.543395996 1.27000695977 155567.0 254389.0 0.08
-4.87741231918 -175.644546509 -101.533241272 1.26972600889 115491.0 114373.0 0.808
-5.05696392059 -175.621078491 -101.429153442 1.27039331181 215267.0 215267.0 0.0
-5.1088309288 -175.616760254 -101.398246765 1.27002402653 229205.0 229203.0 0.616
-5.20340538025 -175.596221924 -101.346031189 1.27164198226 220495.0 220495.0 0.0
-5.30724191666 -175.581756592 -101.285255432 1.2688675316 220493.0 155572.0 0.968
-5.35179615021 -175.576248169 -101.260093689 1.27017737504 229206.0 220494.0 0.256
-5.36391830444 -175.574508667 -101.251976013 1.26993577836 220488.0 220489.0 0.216
-5.46167612076 -175.562530518 -101.193962097 1.26769837703 220487.0 220491.0 0.62
-5.53920698166 -175.543502808 -101.153007507 1.2699827269 116166.0 116163.0 0.06
-5.54134368896 -175.542922974 -101.151657104 1.26997221023 116166.0 174824.0 0.192
-5.69704246521 -175.521133423 -101.06199646 1.27102795081 116676.0 116676.0 0.0
-5.70604467392 -175.518661499 -101.056350708 1.27107895289 115502.0 116165.0 0.984
-5.83199977875 -175.498962402 -100.984184265 1.27054902134 115500.0 115500.0 0.0
-5.83428001404 -175.498535156 -100.982696533 1.27049097256 83667.0 7411.0 0.984
-6.00823926926 -175.480682373 -100.880722046 1.26883167028 138046.0 138046.0 0.0
-6.02754163742 -175.476409912 -100.868293762 1.26915097589 115977.0 156283.0 0.996
-6.13786792755 -175.458862305 -100.807167053 1.26900163278 190279.0 251512.0 0.12
-6.17240953445 -175.453872681 -100.784378052 1.26874558959 148904.0 180874.0 0.604
-6.2946305275 -175.439758301 -100.715774536 1.26761819879 243724.0 243724.0 0.0
