X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
61.3544273376 -143.287139893 -154.140594482 0.208240850052 13094.0 13094.0 0.0
61.3591995239 -143.319732666 -154.095962524 0.246363415125 82263.0 82475.0 0.756
61.3432769775 -143.389602661 -154.027069092 0.311381007806 82474.0 82472.0 0.556
61.3523216248 -143.454483032 -153.994644165 0.35242597041 82472.0 82472.0 0.0
61.3492927551 -143.493804932 -153.931411743 0.403820918406 42917.0 42917.0 0.0
61.3385391235 -143.543151855 -153.879714966 0.45041877034 2221.0 42937.0 0.344
61.3303794861 -143.56072998 -153.854553223 0.471496025181 2221.0 2221.0 0.0
61.3196029663 -143.613388062 -153.767700195 0.53873056448 46727.0 46727.0 0.0
61.3201026917 -143.616119385 -153.765426636 0.540634157823 82228.0 82226.0 0.072
61.3649978638 -143.633651733 -153.651290894 0.542740285837 41304.0 41304.0 0.0
61.3730506897 -143.636413574 -153.63949585 0.542604667751 46726.0 65166.0 0.888
61.4722671509 -143.702407837 -153.497116089 0.549685819772 81909.0 81909.0 0.0
61.4868774414 -143.707489014 -153.475708008 0.551157249431 18047.0 81910.0 0.972
61.5634841919 -143.75718689 -153.346176147 0.564984140992 82189.0 82189.0 0.0
61.5659446716 -143.759277344 -153.343856812 0.5652933283 82191.0 82190.0 0.9
61.6268615723 -143.79057312 -153.272323608 0.577257835454 82042.0 82042.0 0.0
61.6387367249 -143.800765991 -153.255554199 0.57909563833 82041.0 81709.0 0.112
61.7431526184 -143.859451294 -153.110519409 0.60536590737 81512.0 81512.0 0.0
61.8470916748 -143.927200317 -152.990234375 0.617391441249 81323.0 81322.0 0.792
61.8590545654 -143.944442749 -152.974838257 0.616662400284 81664.0 72467.0 0.416
61.9258918762 -144.013320923 -152.895858765 0.610784473663 72475.0 72475.0 0.0
61.9344978333 -144.019515991 -152.887863159 0.609805811891 8660.0 8660.0 0.0
62.0019760132 -144.090133667 -152.793777466 0.596177253687 81484.0 81485.0 0.088
62.0065574646 -144.093780518 -152.788238525 0.595238124134 81484.0 81291.0 0.096
62.064365387 -144.164581299 -152.700790405 0.581295718854 81295.0 37705.0 0.14
62.0756454468 -144.176620483 -152.685806274 0.57910256793 81295.0 75988.0 0.128
62.1204338074 -144.210876465 -152.632339478 0.574329905519 37704.0 75988.0 0.36
62.180770874 -144.277801514 -152.543411255 0.569611149324 81250.0 69482.0 0.908
62.1828079224 -144.280715942 -152.539825439 0.569414785355 69482.0 81269.0 0.124
62.2751502991 -144.360183716 -152.41015625 0.567756793611 80640.0 80640.0 0.0
62.3404312134 -144.416473389 -152.337112427 0.568406658276 43202.0 81073.0 0.676
62.3862838745 -144.471054077 -152.274902344 0.570469882108 80302.0 80302.0 0.0
62.4794502258 -144.549575806 -152.15713501 0.584431663154 2188.0 2188.0 0.0
62.4866333008 -144.559631348 -152.147384644 0.585420265081 27785.0 80852.0 0.04
62.5116004944 -144.586471558 -152.120040894 0.585575455904 80834.0 80834.0 0.0
62.5614738464 -144.633987427 -152.063186646 0.59323946893 80668.0 80840.0 0.004
62.561870575 -144.634246826 -152.062820435 0.593253858621 80668.0 80667.0 0.156
62.5640411377 -144.63571167 -152.060958862 0.59330928963 80667.0 80667.0 0.0
62.5938949585 -144.663757324 -152.030914307 0.589914660513 80662.0 80662.0 0.0
62.6387214661 -144.717300415 -151.988723755 0.585224167863 80660.0 80660.0 0.0
62.7512207031 -144.837036133 -151.882888794 0.575505911903 1189.0 80017.0 0.832
62.7620277405 -144.851638794 -151.868637085 0.57431123295 65467.0 65464.0 0.648
62.8398895264 -144.918899536 -151.785247803 0.574161254857 79984.0 79984.0 0.0
62.8671150208 -144.94342041 -151.756530762 0.571990927876 79151.0 79716.0 0.984
62.9439468384 -145.033584595 -151.691055298 0.566624256329 41370.0 79715.0 0.916
62.9873580933 -145.073410034 -151.656158447 0.569228354474 79700.0 79705.0 0.304
63.0308952332 -145.125396729 -151.615249634 0.573985908043 79437.0 79704.0 0.576
63.0376739502 -145.135650635 -151.60710144 0.574484393358 79703.0 79428.0 0.708
63.1220054626 -145.214141846 -151.519866943 0.576127862091 28230.0 79146.0 0.164
63.1460075378 -145.244995117 -151.481658936 0.577973381907 2552.0 78851.0 0.828
