X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
-13.5950136185 -183.117507935 -149.988769531 0.851772363378 117575.0 117575.0 0.0
-13.5947408676 -183.117507935 -149.988708496 0.851961426171 117574.0 117575.0 0.992
-13.5608606339 -183.117965698 -149.981460571 0.875405212545 117574.0 117574.0 0.0
-13.4875440598 -183.121444702 -149.961639404 0.927856304393 116701.0 117577.0 0.068
-13.4063739777 -183.118362427 -149.948242188 0.983897157906 116814.0 85373.0 0.396
-13.3619356155 -183.120391846 -149.938354492 1.0132515658 117403.0 117398.0 0.992
-13.361656189 -183.120193481 -149.938232422 1.01330767447 89329.0 117398.0 0.992
-13.3404893875 -183.101959229 -149.924682617 1.0176340982 116819.0 116822.0 0.884
-13.3303947449 -183.094177246 -149.919174194 1.01973583854 116822.0 107986.0 0.264
-13.2987394333 -183.063247681 -149.905838013 1.02044706766 107986.0 107986.0 0.0
-13.2743558884 -183.03755188 -149.894256592 1.02177457814 102980.0 102980.0 0.0
-13.2387809753 -182.999603271 -149.87902832 1.02028446255 123875.0 123875.0 0.0
-13.2387638092 -182.999588013 -149.879013062 1.02028339897 123876.0 123875.0 0.996
-13.2344341278 -182.995162964 -149.87689209 1.02001856879 123876.0 123876.0 0.0
-13.1306495667 -182.890029907 -149.830841064 1.02168803706 107997.0 107997.0 0.0
-13.1207103729 -182.879119873 -149.826721191 1.02144299307 123326.0 108102.0 0.864
-13.0677928925 -182.82711792 -149.804290771 1.01985695114 123326.0 123322.0 0.38
-13.0475988388 -182.808105469 -149.796875 1.02014677873 123323.0 123327.0 0.38
-13.0041904449 -182.76234436 -149.776977539 1.02080467161 123323.0 123320.0 0.68
-12.995631218 -182.752746582 -149.7734375 1.02092275378 123320.0 123320.0 0.0
-12.9730739594 -182.729354858 -149.762496948 1.02038889105 129152.0 129152.0 0.0
-12.8631057739 -182.619400024 -149.717254639 1.01934583114 129150.0 129150.0 0.0
-12.83091259 -182.586761475 -149.702362061 1.01991333434 48572.0 48572.0 0.0
-12.8106861115 -182.567352295 -149.692947388 1.01986539182 116426.0 116431.0 0.168
