X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
31.0416870117 -172.13293457 -154.124053955 0.26646661972 214145.0 214145.0 0.0
31.0479106903 -172.114151001 -154.133468628 0.280308780001 241440.0 221518.0 0.872
31.0547466278 -172.06741333 -154.176574707 0.322789453639 241440.0 241440.0 0.0
31.0551300049 -172.06652832 -154.177124023 0.323574127693 241441.0 241440.0 0.976
31.0706863403 -172.030288696 -154.199432373 0.355484205857 241441.0 241441.0 0.0
31.070526123 -172.022247314 -154.205932617 0.361270803559 232998.0 229932.0 0.076
31.0752983093 -171.985015869 -154.223526001 0.380804475569 229933.0 238687.0 0.292
31.0747375488 -171.940246582 -154.229782104 0.39260147802 233765.0 229934.0 0.868
31.0706119537 -171.905883789 -154.239776611 0.402248885677 233348.0 229934.0 0.06
31.0702514648 -171.903335571 -154.240509033 0.40293268404 233348.0 232392.0 0.08
31.0700588226 -171.901855469 -154.240493774 0.403042620966 213429.0 233348.0 0.748
31.0688323975 -171.896347046 -154.240493774 0.403215552409 213429.0 213429.0 0.0
31.0574760437 -171.83921814 -154.245635986 0.405670642991 216776.0 216776.0 0.0
31.0459747314 -171.798721313 -154.246246338 0.406224276454 72047.0 247421.0 0.656
31.0434551239 -171.790054321 -154.246856689 0.406291953712 247421.0 247422.0 0.024
31.0335884094 -171.756378174 -154.249740601 0.40838734527 247422.0 247422.0 0.0
31.0314292908 -171.744934082 -154.248764038 0.408394714674 247419.0 213136.0 0.544
31.0289916992 -171.73059082 -154.248458862 0.40843330869 213136.0 240235.0 0.164
31.016658783 -171.667327881 -154.249801636 0.409852825083 240235.0 214250.0 0.552
31.0149288177 -171.657180786 -154.250823975 0.410020241167 233517.0 214133.0 0.604
31.0068721771 -171.617660522 -154.251403809 0.410964588133 214133.0 239618.0 0.62
31.0003356934 -171.594390869 -154.252853394 0.411131648801 239618.0 209827.0 0.444
30.9974136353 -171.579360962 -154.254867554 0.411353091403 222098.0 222098.0 0.0
30.9749088287 -171.494018555 -154.256454468 0.412595539117 226726.0 193854.0 0.084
30.9748249054 -171.493591309 -154.256515503 0.41259508224 226725.0 226726.0 0.92
30.9573364258 -171.415893555 -154.260864258 0.412903568459 240239.0 240239.0 0.0
30.9510192871 -171.390213013 -154.26008606 0.414184315076 226727.0 226727.0 0.0
30.9509601593 -171.389953613 -154.260116577 0.414182126474 232524.0 226727.0 0.992
30.9436378479 -171.357757568 -154.263397217 0.413910739832 232524.0 232524.0 0.0
30.9279003143 -171.303359985 -154.263473511 0.413222157207 214115.0 214115.0 0.0
30.9136943817 -171.254089355 -154.268493652 0.414415805845 216543.0 216543.0 0.0
30.895986557 -171.164932251 -154.273391724 0.41471605824 220666.0 216544.0 0.4
30.8923892975 -171.150360107 -154.272476196 0.414920766804 214015.0 220669.0 0.716
30.8748912811 -171.077774048 -154.278015137 0.413709157739 216594.0 246767.0 0.116
30.8679904938 -171.049667358 -154.27696228 0.41368003166 246768.0 216597.0 0.988
30.8661632538 -171.041854858 -154.277404785 0.413494401177 216597.0 215056.0 0.284
30.8602542877 -171.018768311 -154.279067993 0.412831748744 223644.0 223644.0 0.0
30.8312034607 -170.936325073 -154.285415649 0.41319148663 240432.0 240432.0 0.0
30.8098526001 -170.876205444 -154.291305542 0.412809919235 198410.0 198410.0 0.0
30.7944660187 -170.835296631 -154.290756226 0.413627599779 216570.0 216570.0 0.0
30.7748088837 -170.777755737 -154.298751831 0.413624165081 233824.0 233824.0 0.0
30.7478199005 -170.691207886 -154.302902222 0.412605351305 233147.0 233147.0 0.0
30.7223052979 -170.620788574 -154.305953979 0.413729320344 233148.0 228033.0 0.836
30.7184638977 -170.608947754 -154.306167603 0.413884061507 228033.0 228033.0 0.0
30.7100086212 -170.583084106 -154.310821533 0.413522502738 216563.0 216563.0 0.0
30.6805667877 -170.495788574 -154.31489563 0.414099683021 233396.0 233396.0 0.0
30.6805381775 -170.495697021 -154.314910889 0.41410176357 233397.0 233396.0 0.988
30.6781997681 -170.488006592 -154.316116333 0.41427306208 233397.0 233397.0 0.0
30.6624965668 -170.443771362 -154.318450928 0.413445087961 212621.0 212621.0 0.0
30.6472473145 -170.401123047 -154.322143555 0.414510089896 216954.0 216954.0 0.0
30.6263713837 -170.348754883 -154.325866699 0.413462807334 212616.0 220739.0 0.98
30.6110229492 -170.289810181 -154.329559326 0.414352025281 214404.0 214404.0 0.0
30.6109790802 -170.289749146 -154.329559326 0.414358989455 220746.0 214404.0 0.968
30.609670639 -170.287872314 -154.329696655 0.414569655707 220746.0 220746.0 0.0
30.5751113892 -170.195205688 -154.335006714 0.41466184941 234295.0 234295.0 0.0
30.5663127899 -170.167800903 -154.339431763 0.414632320091 233563.0 233561.0 0.188
30.5624275208 -170.156890869 -154.339904785 0.414451951027 233558.0 233563.0 0.828
30.5483074188 -170.110916138 -154.340713501 0.413121879569 220747.0 220747.0 0.0
30.5306339264 -170.060882568 -154.344955444 0.415545396907 218060.0 218060.0 0.0
30.492729187 -169.952545166 -154.351150513 0.415357077015 228992.0 228992.0 0.0
30.4590549469 -169.853271484 -154.360275269 0.414598427146 228996.0 228996.0 0.0
30.458272934 -169.851043701 -154.360122681 0.414600558637 232871.0 228996.0 0.908
30.4505462646 -169.828979492 -154.358642578 0.41462159553 232871.0 232871.0 0.0
30.421169281 -169.744659424 -154.367172241 0.413121905977 1462.0 1462.0 0.0
30.4207496643 -169.743713379 -154.3671875 0.413181922553 242730.0 1462.0 0.972
30.4061851501 -169.71081543 -154.367935181 0.41526535512 242730.0 242730.0 0.0
30.402338028 -169.702178955 -154.367279053 0.415496278309 242731.0 242731.0 0.0
30.3980026245 -169.691452026 -154.367889404 0.414684639065 242727.0 242728.0 0.808
30.3709430695 -169.603485107 -154.37713623 0.413892842778 242534.0 214380.0 0.908
30.3618907928 -169.575363159 -154.376220703 0.414133876339 246674.0 240575.0 0.3
30.3571548462 -169.560195923 -154.377243042 0.413633531366 240575.0 240574.0 0.784
30.3486537933 -169.532775879 -154.380523682 0.413118057721 216968.0 240574.0 0.296
30.3442955017 -169.519958496 -154.381881714 0.412925854524 216968.0 213165.0 0.116
30.3284816742 -169.472793579 -154.382720947 0.412899513855 216961.0 216961.0 0.0
30.3135051727 -169.427474976 -154.388000488 0.412636403398 210892.0 225740.0 0.492
30.2969112396 -169.380767822 -154.388305664 0.412938959658 218387.0 218387.0 0.0
30.2828769684 -169.33770752 -154.394104004 0.412885805015 197523.0 197523.0 0.0
30.2623729706 -169.280395508 -154.394805908 0.413446330349 216307.0 216307.0 0.0
30.2521400452 -169.249420166 -154.399765015 0.412847764028 256790.0 256790.0 0.0
30.2230682373 -169.168579102 -154.403701782 0.414513313991 213163.0 213163.0 0.0
30.2198066711 -169.157424927 -154.405593872 0.414224581167 246931.0 246932.0 0.568
30.2174701691 -169.15045166 -154.406387329 0.413814914537 219504.0 220938.0 0.012
30.1843471527 -169.058654785 -154.411270142 0.414669441331 220940.0 220940.0 0.0
30.1696968079 -169.009277344 -154.415206909 0.41329888995 233773.0 233775.0 0.576
30.1590194702 -168.979812622 -154.415359497 0.413002272912 233770.0 233939.0 0.108
30.1379795074 -168.92906189 -154.421936035 0.412647609808 197534.0 223676.0 0.896
30.1048755646 -168.864639282 -154.423233032 0.415325728316 225653.0 225653.0 0.0
30.0920314789 -168.849609375 -154.42640686 0.415799625547 225661.0 225661.0 0.0
30.0563488007 -168.765167236 -154.434371948 0.41505216791 234911.0 234911.0 0.0
30.0381011963 -168.731506348 -154.438308716 0.417797289992 197917.0 197917.0 0.0
30.0336532593 -168.721725464 -154.440505981 0.418167565542 234646.0 234642.0 0.604
29.9962368011 -168.648178101 -154.44670105 0.419019030948 218533.0 218533.0 0.0
29.9892864227 -168.634490967 -154.449493408 0.418541009095 230701.0 242573.0 0.828
29.9392127991 -168.530761719 -154.458053589 0.421687256013 213239.0 218534.0 0.232
29.933883667 -168.521148682 -154.457397461 0.422040937986 218529.0 218527.0 0.148
29.8843288422 -168.428634644 -154.467987061 0.424130213535 197790.0 218525.0 0.12
29.8540420532 -168.379302979 -154.468154907 0.429502830236 197747.0 197290.0 0.884
29.8518810272 -168.376663208 -154.46812439 0.429860104932 197290.0 197290.0 0.0
29.8264884949 -168.336212158 -154.473602295 0.432632186024 225432.0 225427.0 0.224
29.8088188171 -168.30519104 -154.474380493 0.434842954555 225430.0 225431.0 0.768
