X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
-9.18947505951 -157.393798828 -259.63583374 0.715992868365 132887.0 132887.0 0.0
-9.05091762543 -157.448944092 -259.627716064 0.8221321061 177119.0 76.0 0.936
-9.03169631958 -157.459564209 -259.624542236 0.837417605544 90506.0 177119.0 0.36
-8.87779998779 -157.52456665 -259.613952637 0.949935732897 69881.0 69881.0 0.0
-8.84047222137 -157.555725098 -259.585998535 0.979223646258 277567.0 277567.0 0.0
-8.80134963989 -157.61756897 -259.582275391 0.989195078873 277569.0 277571.0 0.5
-8.7828578949 -157.659698486 -259.57989502 0.989669377031 277569.0 277569.0 0.0
-8.77050971985 -157.688293457 -259.579284668 0.991505410924 276490.0 276490.0 0.0
-8.77049732208 -157.688323975 -259.579284668 0.991505427685 188453.0 276490.0 0.984
-8.76974773407 -157.689727783 -259.579284668 0.991506458475 188453.0 188453.0 0.0
-8.71337985992 -157.818389893 -259.578674316 0.990804473585 271716.0 271716.0 0.0
-8.70799160004 -157.833602905 -259.578125 0.990677036022 118046.0 118044.0 0.228
-8.65622997284 -157.955062866 -259.577545166 0.990493986387 273603.0 273603.0 0.0
-8.65225219727 -157.963348389 -259.577453613 0.99082119135 277354.0 277352.0 0.516
-8.64029407501 -157.986221313 -259.577636719 0.991190749945 283851.0 283851.0 0.0
-8.59246063232 -158.100250244 -259.578887939 0.991062454567 77102.0 77102.0 0.0
-8.58404254913 -158.12121582 -259.575805664 0.991160731872 276470.0 276470.0 0.0
-8.52768325806 -158.250778198 -259.575897217 0.990554827632 210589.0 287837.0 0.968
-8.52577114105 -158.254562378 -259.57598877 0.990618817586 287837.0 288478.0 0.244
-8.50915718079 -158.292175293 -259.575317383 0.99050457361 288476.0 288478.0 0.732
-8.48199081421 -158.360092163 -259.57421875 0.9892854704 288476.0 288476.0 0.0
-8.46348285675 -158.402999878 -259.575714111 0.989741570654 288475.0 288475.0 0.0
-8.44751167297 -158.437103271 -259.576324463 0.990316111102 128357.0 203807.0 0.856
-8.4241065979 -158.493041992 -259.577087402 0.991070333638 237867.0 237867.0 0.0
-8.40715408325 -158.528839111 -259.575531006 0.990523666034 177999.0 237870.0 0.38
-8.39670085907 -158.55090332 -259.574768066 0.990241232814 177999.0 192412.0 0.484
-8.38060188293 -158.588119507 -259.573303223 0.990344492759 203803.0 203803.0 0.0
-8.36233615875 -158.635101318 -259.572845459 0.990442334365 203802.0 104332.0 0.592
-8.35499000549 -158.65423584 -259.571624756 0.990262000748 104332.0 277200.0 0.06
-8.29396152496 -158.785980225 -259.567016602 0.992686648625 274712.0 274710.0 0.64
-8.28991031647 -158.79675293 -259.566070557 0.992772198609 237862.0 104329.0 0.252
-8.23295879364 -158.92010498 -259.560577393 0.992723180018 221032.0 125954.0 0.556
-8.22969055176 -158.928833008 -259.559814453 0.992592362259 221035.0 221032.0 0.252
-8.1634016037 -159.080459595 -259.557403564 0.992029626826 276389.0 245033.0 0.496
-8.1549577713 -159.096801758 -259.557525635 0.9923054873 282175.0 282176.0 0.224
-8.11734867096 -159.194854736 -259.563690186 0.992501620028 282180.0 245038.0 0.192
-8.1171913147 -159.195220947 -259.563598633 0.992501330652 245041.0 282180.0 0.832
-8.05218601227 -159.344268799 -259.558868408 0.991331024403 56838.0 227933.0 0.22
-8.03388309479 -159.379058838 -259.55859375 0.992141361448 287632.0 115891.0 0.96
-8.03188896179 -159.383499146 -259.558441162 0.992076413204 287627.0 115891.0 0.784
-8.02461433411 -159.400543213 -259.558746338 0.991787435022 287627.0 287627.0 0.0
-8.02417469025 -159.401733398 -259.558746338 0.991764520266 153330.0 287627.0 0.984
-7.99713468552 -159.47492981 -259.558227539 0.990355262758 153330.0 153330.0 0.0
-7.94237804413 -159.597457886 -259.562347412 0.99221021328 287922.0 287922.0 0.0
-7.93234777451 -159.626708984 -259.562957764 0.992191605759 287913.0 287913.0 0.0
-7.87953662872 -159.756530762 -259.567230225 0.9911970445 272487.0 272487.0 0.0
-7.87793636322 -159.759506226 -259.567016602 0.991252515628 241325.0 197672.0 0.112
-7.82086706161 -159.890258789 -259.566253662 0.990961852791 241335.0 241335.0 0.0
-7.81567525864 -159.904724121 -259.56552124 0.990932744887 241338.0 241337.0 0.16
-7.75886011124 -160.035049438 -259.562957764 0.991667325947 287908.0 287908.0 0.0
-7.75885820389 -160.035049438 -259.562957764 0.991667301186 287909.0 287908.0 0.992
-7.75864362717 -160.035476685 -259.562988281 0.991664230831 287909.0 287909.0 0.0
-7.69425630569 -160.183670044 -259.561340332 0.991383619402 209588.0 209588.0 0.0
-7.6907582283 -160.190582275 -259.56161499 0.991469189831 243555.0 272693.0 0.144
-7.64307832718 -160.302459717 -259.561126709 0.991502134866 287809.0 287809.0 0.0
-7.64157676697 -160.305618286 -259.56137085 0.991496413063 287808.0 287806.0 0.008
-7.62413406372 -160.351119995 -259.563690186 0.989056697479 271580.0 287812.0 0.932
-7.6184425354 -160.365661621 -259.564758301 0.988053824019 276562.0 271574.0 0.008
-7.57218694687 -160.467193604 -259.561401367 0.990912185005 288744.0 288744.0 0.0
-7.51965284348 -160.577697754 -259.551574707 0.991919457513 287570.0 287570.0 0.0
-7.5167760849 -160.584487915 -259.550811768 0.991770493693 225056.0 287567.0 0.96
-7.45360422134 -160.729934692 -259.547210693 0.992416384757 216815.0 253986.0 0.828
-7.45330858231 -160.730529785 -259.547241211 0.992418097671 256746.0 216815.0 0.264
-7.39628648758 -160.868408203 -259.550018311 0.991906765715 287539.0 287539.0 0.0
-7.39139175415 -160.878051758 -259.550537109 0.991874481573 272711.0 204520.0 0.92
-7.33656167984 -161.014068604 -259.556335449 0.990894114254 283938.0 283938.0 0.0
-7.32271432877 -161.04196167 -259.557617188 0.991348178734 222534.0 289944.0 0.988
-7.30269479752 -161.090103149 -259.557037354 0.991199615652 109310.0 289945.0 0.604
-7.27796936035 -161.147659302 -259.554962158 0.991793033552 78997.0 78997.0 0.0
-7.23010587692 -161.263000488 -259.557922363 0.990684574961 281574.0 281574.0 0.0
-7.22184610367 -161.283401489 -259.55657959 0.991244804876 164767.0 164767.0 0.0
-7.21563148499 -161.295944214 -259.55581665 0.990870304223 287897.0 287897.0 0.0
-7.16168880463 -161.418319702 -259.552490234 0.991069663301 256415.0 256415.0 0.0
-7.16160917282 -161.418533325 -259.552490234 0.991071320974 210397.0 256415.0 0.968
-7.15919303894 -161.425109863 -259.552185059 0.991121465589 210397.0 210397.0 0.0
-7.10301351547 -161.552810669 -259.55291748 0.99147442484 174618.0 174618.0 0.0
-7.10295820236 -161.552963257 -259.55291748 0.99147450744 174620.0 174618.0 0.992
-7.09611272812 -161.572006226 -259.552093506 0.991484749903 174620.0 174620.0 0.0
-7.04396295547 -161.692764282 -259.5519104 0.991943865207 198111.0 111056.0 0.672
-7.04361343384 -161.693435669 -259.5519104 0.991939240965 111056.0 198107.0 0.336
-7.00468444824 -161.785491943 -259.551879883 0.988408614472 111049.0 187807.0 0.3
-6.97603416443 -161.852645874 -259.553283691 0.990737773726 269533.0 269533.0 0.0
-6.96274280548 -161.883209229 -259.553619385 0.98998867158 269544.0 288901.0 0.448
-6.94757080078 -161.918502808 -259.553222656 0.989177636929 288901.0 288904.0 0.072
