X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
33.6446609497 -169.895874023 -127.627082825 1.1545552148 7692.0 7692.0 0.0
33.5300178528 -169.844696045 -127.639442444 1.15775309394 7027.0 7715.0 0.46
33.4644432068 -169.818786621 -127.637283325 1.1577011422 7717.0 7718.0 0.3
33.4024200439 -169.792572021 -127.644241333 1.15722310162 7716.0 5258.0 0.364
33.2958068848 -169.757019043 -127.654777527 1.15466707747 3610.0 3610.0 0.0
33.1528129578 -169.708862305 -127.653266907 1.15802866065 6354.0 8265.0 0.792
33.0872840881 -169.691802979 -127.658607483 1.15839117782 8260.0 7682.0 0.216
32.9103889465 -169.642105103 -127.655227661 1.16064271987 7679.0 7681.0 0.084
32.7982559204 -169.615722656 -127.665641785 1.16397697392 7676.0 7675.0 0.272
32.7140464783 -169.594558716 -127.663459778 1.16363881962 5812.0 5804.0 0.792
32.6618347168 -169.58430481 -127.666992188 1.16270863116 5804.0 4067.0 0.392
32.5458984375 -169.560241699 -127.677101135 1.1632310345 6324.0 6324.0 0.0
32.4739608765 -169.548370361 -127.689575195 1.16381764053 2477.0 2477.0 0.0
32.4370002747 -169.539978027 -127.69304657 1.16103414367 3424.0 3424.0 0.0
32.140914917 -169.501464844 -127.734367371 1.15546317943 4615.0 4615.0 0.0
32.1396484375 -169.501159668 -127.734565735 1.15538517158 4082.0 5421.0 0.984
31.8514671326 -169.470428467 -127.768867493 1.15795813101 5797.0 5797.0 0.0
31.7952346802 -169.464187622 -127.776763916 1.16051950875 7002.0 7001.0 0.764
31.7870330811 -169.46295166 -127.777488708 1.16058805391 7001.0 7001.0 0.0
31.5376415253 -169.447601318 -127.825958252 1.16000267035 5801.0 5801.0 0.0
31.4851799011 -169.443557739 -127.832489014 1.16096940766 6935.0 6934.0 0.26
31.3889713287 -169.440216064 -127.851554871 1.1623198277 6934.0 6938.0 0.424
31.2898960114 -169.441726685 -127.872795105 1.16430635203 6941.0 6941.0 0.0
31.28881073 -169.441619873 -127.873100281 1.16432472405 6948.0 6941.0 0.98
31.2356262207 -169.436676025 -127.888015747 1.16522495295 6948.0 6948.0 0.0
31.1479625702 -169.430206299 -127.9087677 1.16843853217 6953.0 6953.0 0.0
30.9674320221 -169.428939819 -127.944389343 1.17783944443 4702.0 4702.0 0.0
30.7813205719 -169.448486328 -127.99823761 1.16841643082 5239.0 5239.0 0.0
30.6951599121 -169.457794189 -128.02192688 1.16977061603 7612.0 7612.0 0.0
30.6939849854 -169.457870483 -128.022277832 1.16985594815 5384.0 7612.0 0.992
30.5483627319 -169.466918945 -128.065673828 1.18043713129 5384.0 5384.0 0.0
30.5365600586 -169.466506958 -128.069869995 1.18087019916 4869.0 4869.0 0.0
30.3302268982 -169.484542847 -128.166030884 1.17886376807 7312.0 7312.0 0.0
30.3295497894 -169.484527588 -128.166366577 1.17891484796 7592.0 7312.0 0.996
30.1610870361 -169.480773926 -128.248764038 1.19163373958 7592.0 7592.0 0.0
30.1538143158 -169.481491089 -128.252929688 1.19186176077 4510.0 4510.0 0.0
29.989025116 -169.497238159 -128.330474854 1.19490776042 8768.0 8768.0 0.0
29.9855613708 -169.497421265 -128.332351685 1.19514173615 4818.0 8767.0 0.984
29.8572025299 -169.501358032 -128.402053833 1.20732842667 6480.0 4818.0 0.696
29.7946815491 -169.498168945 -128.429244995 1.21590754703 6386.0 6386.0 0.0
29.6740760803 -169.497024536 -128.488632202 1.21711481965 6431.0 6431.0 0.0
29.472278595 -169.478164673 -128.580673218 1.2190808402 8954.0 8954.0 0.0
29.4526062012 -169.475448608 -128.590148926 1.21937723993 10575.0 10575.0 0.0
29.4393081665 -169.473999023 -128.597625732 1.21870044651 10930.0 10930.0 0.0
29.2061901093 -169.46206665 -128.703567505 1.21121013224 10530.0 10582.0 0.364
29.1433792114 -169.461883545 -128.726196289 1.21212953249 11273.0 11275.0 0.356
29.0707588196 -169.459960938 -128.760940552 1.2122946387 9342.0 11273.0 0.464
29.005443573 -169.459793091 -128.7943573 1.21043798264 9342.0 7347.0 0.34
28.7997646332 -169.460479736 -128.877349854 1.21978078957 10567.0 10567.0 0.0
28.7642230988 -169.463256836 -128.894241333 1.22323064177 11712.0 11712.0 0.0
28.4937210083 -169.489944458 -129.014877319 1.25268607904 12167.0 9944.0 0.764
28.4367465973 -169.491424561 -129.04133606 1.26093895579 9944.0 9944.0 0.0
28.4335346222 -169.492294312 -129.042907715 1.26157717123 10657.0 12677.0 0.008
28.2655143738 -169.53742981 -129.114746094 1.29416015202 12677.0 12677.0 0.0
28.1856613159 -169.568969727 -129.156692505 1.31345949012 12670.0 12187.0 0.536
28.1153926849 -169.598388672 -129.186798096 1.32976750392 12670.0 10938.0 0.816
28.0999698639 -169.606933594 -129.194122314 1.3328511786 10938.0 10938.0 0.0
28.0447387695 -169.629394531 -129.228225708 1.34201849098 12668.0 12327.0 0.952
27.9003925323 -169.679336548 -129.314956665 1.3709050849 10925.0 13260.0 0.768
27.7974300385 -169.721801758 -129.393081665 1.39431871041 11279.0 12799.0 0.596
27.5542354584 -169.777069092 -129.580459595 1.45650566375 12198.0 12679.0 0.352
27.4996147156 -169.794815063 -129.629150391 1.47561394252 12808.0 13254.0 0.84
27.4915447235 -169.797348022 -129.638122559 1.4777995109 14339.0 11866.0 0.928
27.3781337738 -169.830337524 -129.73878479 1.5122320841 13956.0 9876.0 0.648
27.2769031525 -169.864089966 -129.847686768 1.5430113739 13800.0 13376.0 0.688
27.250711441 -169.872070312 -129.881698608 1.55067005139 14400.0 14399.0 0.724
27.2236919403 -169.884170532 -129.925567627 1.55945482087 14399.0 14992.0 0.272
27.1298809052 -169.913818359 -130.086868286 1.58445034615 12804.0 9826.0 0.832
27.1281776428 -169.914123535 -130.09085083 1.58482728905 12627.0 14986.0 0.76
27.047454834 -169.947418213 -130.212509155 1.61389234188 20065.0 14475.0 0.3
27.0452232361 -169.954849243 -130.243682861 1.60709071955 20065.0 16920.0 0.368
27.0204524994 -169.990936279 -130.466827393 1.5681143124 17577.0 17577.0 0.0
26.9869022369 -170.036193848 -130.675598145 1.54816870985 19112.0 19112.0 0.0
26.9844532013 -170.041625977 -130.697967529 1.54628636286 21302.0 22656.0 0.044
26.956829071 -170.075027466 -130.853042603 1.53604552991 18298.0 21303.0 0.976
26.9562969208 -170.075561523 -130.855331421 1.5360069553 21303.0 18295.0 0.02
26.9297580719 -170.118041992 -130.991012573 1.53105652015 21840.0 21840.0 0.0
26.900888443 -170.16178894 -131.138076782 1.5286222513 22645.0 20056.0 0.908
26.837020874 -170.2837677 -131.406341553 1.54076195095 22788.0 20563.0 0.308
26.8310546875 -170.292541504 -131.424499512 1.54235231666 23048.0 22788.0 0.424
26.8179149628 -170.318817139 -131.471130371 1.5458940028 23049.0 23610.0 0.124
26.7905139923 -170.373703003 -131.58531189 1.55654632144 22629.0 23440.0 0.98
26.7888355255 -170.376724243 -131.591293335 1.55712081687 23439.0 23440.0 0.736
26.7860507965 -170.384902954 -131.602859497 1.5579650347 23439.0 23438.0 0.004
26.7641773224 -170.433944702 -131.68081665 1.56535960039 23436.0 23442.0 0.3
26.7577095032 -170.445709229 -131.699432373 1.56681378677 23437.0 23464.0 0.464
26.7368717194 -170.489837646 -131.774276733 1.5707976207 23434.0 23434.0 0.0
26.6989212036 -170.566207886 -131.885437012 1.57812890375 23076.0 23803.0 0.096
26.6967277527 -170.570877075 -131.89276123 1.57871158744 23775.0 23076.0 0.576
26.6933860779 -170.57913208 -131.904937744 1.57954288728 23775.0 24086.0 0.068
26.6650676727 -170.63923645 -131.989059448 1.58483561908 23933.0 24359.0 0.22
26.6563911438 -170.660507202 -132.020294189 1.58635036041 23010.0 13049.0 0.812
26.6136989594 -170.733596802 -132.141784668 1.59532705711 24343.0 24343.0 0.0
26.6118545532 -170.736557007 -132.147354126 1.59573020022 24342.0 24341.0 0.744
26.5754871368 -170.795043945 -132.241958618 1.60298581424 24338.0 23895.0 0.104
26.5749511719 -170.796081543 -132.243560791 1.603068032 24201.0 24338.0 0.904
26.5229320526 -170.890045166 -132.374725342 1.61447790974 24573.0 24573.0 0.0
26.5229301453 -170.890045166 -132.374725342 1.61447841398 24572.0 24573.0 0.992
26.5225868225 -170.89074707 -132.375457764 1.61454093979 24572.0 24572.0 0.0
26.5156421661 -170.90083313 -132.387832642 1.61456942748 21215.0 24567.0 0.964
26.4641017914 -170.976928711 -132.492416382 1.61630200421 24546.0 24543.0 0.296
26.4372997284 -171.011199951 -132.538650513 1.61741021012 24562.0 24564.0 0.952
26.4348278046 -171.014709473 -132.543487549 1.61741376472 24564.0 24545.0 0.344
26.4293670654 -171.022781372 -132.554351807 1.61731803542 23646.0 24545.0 0.972
26.4101200104 -171.048919678 -132.588699341 1.61620937205 23646.0 24542.0 0.892
26.3885612488 -171.0756073 -132.622009277 1.61495491609 25237.0 25236.0 0.68
26.3265914917 -171.169311523 -132.722961426 1.61037281293 25547.0 25547.0 0.0
26.3068637848 -171.195541382 -132.750900269 1.60841658144 25895.0 25089.0 0.664
26.2740192413 -171.243637085 -132.800079346 1.60521958625 25890.0 25890.0 0.0
26.2739887238 -171.243682861 -132.800125122 1.60521652993 26195.0 25890.0 0.98
26.27252388 -171.245956421 -132.802505493 1.60506676987 26195.0 26195.0 0.0
26.2052230835 -171.346374512 -132.893859863 1.59602019168 25332.0 25332.0 0.0
26.2052021027 -171.346405029 -132.893890381 1.59601795888 26198.0 25332.0 0.996
26.1997661591 -171.353775024 -132.901077271 1.59546199088 26198.0 26198.0 0.0
26.1177825928 -171.482086182 -133.024993896 1.58849523626 26011.0 26011.0 0.0
26.0653324127 -171.553756714 -133.100372314 1.58716838645 25355.0 25990.0 0.9
26.0594520569 -171.562606812 -133.109237671 1.58704117217 25163.0 25163.0 0.0
26.0556716919 -171.568634033 -133.114685059 1.58681963761 26216.0 25519.0 0.068
26.0232772827 -171.614318848 -133.155593872 1.58371626954 26205.0 26205.0 0.0
25.9330768585 -171.758483887 -133.286514282 1.58223459161 26782.0 26782.0 0.0
25.8935546875 -171.82019043 -133.337142944 1.58404255837 21454.0 26785.0 0.848
25.8903560638 -171.824920654 -133.341491699 1.58407718434 26786.0 26785.0 0.724
25.8857498169 -171.831359863 -133.347473145 1.58403503662 26786.0 26786.0 0.0
25.7999382019 -171.972991943 -133.469589233 1.58705497116 26772.0 26772.0 0.0
25.7788600922 -172.003265381 -133.496429443 1.58893816245 27175.0 27175.0 0.0
25.7786540985 -172.003601074 -133.49671936 1.58895617648 27173.0 27175.0 0.992
25.7531337738 -172.045043945 -133.531936646 1.59118991623 27173.0 27173.0 0.0
25.7104625702 -172.118865967 -133.595779419 1.5979715675 27159.0 27170.0 0.448
25.7015552521 -172.136444092 -133.608810425 1.59969561103 27160.0 27159.0 0.96
25.6645450592 -172.199172974 -133.655471802 1.60590922358 27492.0 27141.0 0.704
25.6520442963 -172.22416687 -133.671279907 1.60872246189 27492.0 27492.0 0.0
25.6467514038 -172.234558105 -133.679031372 1.60936703031 27493.0 27494.0 0.372
25.6399784088 -172.24810791 -133.689575195 1.61000703521 27494.0 27494.0 0.0
25.5706615448 -172.375228882 -133.781555176 1.61791319128 27838.0 27838.0 0.0
25.5512962341 -172.413711548 -133.804672241 1.62091720694 27840.0 27373.0 0.416
25.5503120422 -172.415893555 -133.806060791 1.62099325658 27373.0 27830.0 0.584
25.4780654907 -172.564605713 -133.887878418 1.62332128273 28209.0 28209.0 0.0
