X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
-42.5649757385 -200.994903564 -217.515594482 0.0796383919743 833709.0 833709.0 0.0
-42.5649299622 -200.992645264 -217.514663696 0.081116817535 831361.0 831242.0 0.968
-42.5648612976 -200.954925537 -217.509414673 0.104487890621 831361.0 831362.0 0.04
-42.5627746582 -200.931854248 -217.495117188 0.123321178157 831364.0 831366.0 0.644
-42.5595970154 -200.925445557 -217.487594604 0.130073764742 831366.0 831366.0 0.0
-42.5596008301 -200.925354004 -217.487518311 0.130154406218 831365.0 831366.0 0.976
-42.5597610474 -200.921539307 -217.484390259 0.13343382626 831365.0 831365.0 0.0
-42.5597496033 -200.921417236 -217.484313965 0.133531836471 715703.0 831365.0 0.996
-42.5569839478 -200.889709473 -217.464416504 0.157936378917 715703.0 715703.0 0.0
-42.5548820496 -200.882446289 -217.455276489 0.166155670426 831651.0 831651.0 0.0
-42.5548439026 -200.882354736 -217.455184937 0.16624166826 831650.0 831651.0 0.996
-42.5451278687 -200.861053467 -217.433334351 0.187655129105 831650.0 831650.0 0.0
-42.5451011658 -200.860855103 -217.433181763 0.187826301092 831655.0 831650.0 0.988
-42.542930603 -200.845062256 -217.420349121 0.201919461341 831655.0 831655.0 0.0
-42.5428543091 -200.844787598 -217.420013428 0.202221155786 831654.0 831655.0 0.984
-42.5381469727 -200.828308105 -217.398910522 0.220775364109 831654.0 831654.0 0.0
-42.5381240845 -200.828262329 -217.398864746 0.220821019777 636213.0 831654.0 0.996
-42.5327148438 -200.817123413 -217.386398315 0.232189281192 636213.0 636213.0 0.0
-42.5327072144 -200.817001343 -217.386306763 0.232288731104 690057.0 636213.0 0.996
-42.5303840637 -200.788406372 -217.363327026 0.257051759057 690057.0 690057.0 0.0
-42.5302886963 -200.787857056 -217.362960815 0.25749950261 714699.0 690057.0 0.972
-42.5269546509 -200.768661499 -217.349990845 0.273042600222 714699.0 714699.0 0.0
-42.5269317627 -200.768600464 -217.349914551 0.27310688958 714698.0 714699.0 0.996
-42.5209121704 -200.754379272 -217.331680298 0.289114939954 714698.0 714698.0 0.0
-42.5209007263 -200.754318237 -217.331619263 0.289174889787 645568.0 714698.0 0.996
-42.5182952881 -200.738815308 -217.316131592 0.304102398278 645568.0 645568.0 0.0
-42.5073661804 -200.701126099 -217.283905029 0.337714907751 690278.0 690278.0 0.0
-42.5057373047 -200.687393188 -217.27406311 0.349285722832 502073.0 502293.0 0.98
-42.4975204468 -200.66394043 -217.248413086 0.372666061228 439286.0 502073.0 0.96
-42.4906158447 -200.63848877 -217.226470947 0.394564432573 502287.0 790556.0 0.852
-42.4840278625 -200.622299194 -217.211090088 0.408896512497 692769.0 502287.0 0.228
-42.4774932861 -200.607955933 -217.202392578 0.417410434947 557182.0 557188.0 0.668
-42.4738807678 -200.602874756 -217.198318481 0.420433117645 557188.0 725424.0 0.492
-42.4662284851 -200.586730957 -217.187042236 0.429035256596 725418.0 557183.0 0.34
-42.4496002197 -200.54737854 -217.164642334 0.448332741322 423845.0 725420.0 0.628
-42.4470252991 -200.542678833 -217.161209106 0.450680129286 423848.0 725420.0 0.58
-42.4240188599 -200.504959106 -217.142501831 0.463958824835 725419.0 425629.0 0.348
-42.4073638916 -200.474319458 -217.130630493 0.474145885997 693057.0 439172.0 0.796
-42.3912963867 -200.455429077 -217.123413086 0.477864269004 693053.0 693053.0 0.0
-42.3714981079 -200.429138184 -217.116867065 0.482485937104 442700.0 614985.0 0.364
-42.3583335876 -200.413665771 -217.113891602 0.483949294522 426612.0 442700.0 0.408
-42.3535423279 -200.408981323 -217.112594604 0.484328269678 650495.0 399286.0 0.64
-42.3398971558 -200.392913818 -217.109054565 0.484795304228 691927.0 378684.0 0.708
-42.3126296997 -200.358963013 -217.102401733 0.487730516746 691927.0 833782.0 0.888
-42.3094749451 -200.355529785 -217.102111816 0.487838826281 833782.0 833782.0 0.0
-42.3026275635 -200.347320557 -217.101867676 0.488062066731 311185.0 311185.0 0.0
-42.2601509094 -200.303619385 -217.098510742 0.487694919966 831268.0 831268.0 0.0
-42.2315444946 -200.274688721 -217.094985962 0.487171056278 429622.0 703415.0 0.616
-42.2010955811 -200.242630005 -217.092575073 0.488008364212 703417.0 703417.0 0.0
-42.1959381104 -200.236907959 -217.092376709 0.488327625899 693640.0 693640.0 0.0
-42.147151947 -200.185623169 -217.088653564 0.487936367953 427006.0 427006.0 0.0
-42.1471328735 -200.18560791 -217.088653564 0.487936429565 659041.0 427006.0 0.996
-42.1427268982 -200.181396484 -217.087814331 0.487951770831 659041.0 659041.0 0.0
-42.0867347717 -200.12348938 -217.083129883 0.488242175446 708900.0 708900.0 0.0
-42.0342254639 -200.068984985 -217.078536987 0.487965014188 702775.0 702775.0 0.0
-41.9815483093 -200.01449585 -217.074325562 0.48791259238 143987.0 143987.0 0.0
-41.9279136658 -199.958831787 -217.069839478 0.487717145125 644443.0 644443.0 0.0
-41.8763771057 -199.903762817 -217.065216064 0.488129939173 302037.0 302037.0 0.0
-41.8749923706 -199.902481079 -217.064987183 0.488132608888 423946.0 423946.0 0.0
-41.8188896179 -199.84387207 -217.060623169 0.487740777409 505807.0 505807.0 0.0
-41.8123130798 -199.836746216 -217.059204102 0.487691973409 565242.0 565242.0 0.0
-41.7610206604 -199.781600952 -217.054855347 0.488223213246 400009.0 400009.0 0.0
-41.7606315613 -199.781173706 -217.054855347 0.488217235152 439175.0 387663.0 0.988
-41.7215843201 -199.742019653 -217.05241394 0.48797712266 400012.0 400012.0 0.0
-41.7215576172 -199.741989136 -217.05241394 0.487977034614 715451.0 400012.0 0.996
-41.7145614624 -199.735687256 -217.051391602 0.487955111166 715451.0 715451.0 0.0
