X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
-29.148103714 -27.5685195923 8.41329097748 0.716660845922 69431.0 69431.0 0.0
-29.1481018066 -27.568523407 8.4132900238 0.716661229062 69917.0 69917.0 0.0
-28.6578369141 -27.9134883881 8.45443725586 0.740871447587 69405.0 69405.0 0.0
-28.6578369141 -27.9134883881 8.45443725586 0.740871451307 70012.0 70013.0 0.996
-28.6559562683 -27.914812088 8.45459270477 0.740738111313 70012.0 69757.0 0.004
-28.1880245209 -28.2440624237 8.4938659668 0.707557864209 69778.0 69778.0 0.0
-27.8854618073 -28.4569549561 8.51925945282 0.675057546614 69687.0 69687.0 0.0
-27.8854618073 -28.4569549561 8.51925945282 0.675057546661 69686.0 69687.0 0.996
-27.8854598999 -28.4569549561 8.51926040649 0.675057284181 30996.0 69686.0 0.032
-27.8763389587 -28.4633731842 8.52002620697 0.674918309157 30996.0 69144.0 0.048
-27.6954307556 -28.5906658173 8.53520965576 0.672162150999 69144.0 69144.0 0.0
-27.6954307556 -28.5906658173 8.53520965576 0.672162154901 69429.0 69096.0 0.016
-27.4098873138 -28.7915821075 8.55917549133 0.706139551834 69319.0 69319.0 0.0
-26.9834976196 -29.0916042328 8.59496212006 0.720356577443 69198.0 69198.0 0.0
-26.9834957123 -29.0916061401 8.59496116638 0.720356562682 69201.0 69201.0 0.0
-26.5188465118 -29.418548584 8.63395881653 0.723544714618 36943.0 36943.0 0.0
-26.5170860291 -29.4197883606 8.63410663605 0.723487450935 68297.0 68207.0 0.004
-26.0786075592 -29.7283153534 8.67090702057 0.709233998267 68510.0 68510.0 0.0
-25.654088974 -30.0270195007 8.70653629303 0.716072261709 64.0 64.0 0.0
-25.654088974 -30.0270195007 8.70653629303 0.716072264879 68624.0 68624.0 0.0
-25.652545929 -30.0281047821 8.70666599274 0.715983219406 68623.0 68459.0 0.004
-25.2683620453 -30.2984275818 8.73891067505 0.693849088021 30393.0 30393.0 0.0
-25.2668876648 -30.2994651794 8.73903465271 0.693907029943 732.0 68294.0 0.004
-24.9000034332 -30.5576171875 8.76982688904 0.708336331313 68294.0 68294.0 0.0
-24.9000015259 -30.5576190948 8.76982784271 0.708336337563 68295.0 68233.0 0.936
-24.8985328674 -30.5586528778 8.7699508667 0.708276844492 68233.0 68151.0 0.004
-24.5327186584 -30.8160495758 8.80065345764 0.693463437594 68077.0 68077.0 0.0
-24.5318031311 -30.8166923523 8.80073070526 0.693361712675 59006.0 60620.0 0.004
-24.2924804688 -30.9876804352 8.81923007965 0.66991116792 60618.0 60618.0 0.0
-24.2672786713 -31.0055847168 8.81731414795 0.671472051484 59188.0 59193.0 0.888
-24.2354335785 -31.0278816223 8.81731891632 0.673856043697 59188.0 59188.0 0.0
-24.1950740814 -31.0521888733 8.81441402435 0.676040619723 59009.0 59186.0 0.34
-24.1815490723 -31.0590419769 8.81335926056 0.676283884047 59009.0 59009.0 0.0
-24.0695075989 -31.1356487274 8.80920410156 0.679864486813 59012.0 59012.0 0.0
-24.0471591949 -31.1518154144 8.81268882751 0.680262499495 58834.0 59013.0 0.936
-23.9794559479 -31.1976356506 8.81382274628 0.678871096712 58823.0 58823.0 0.0
-23.9792690277 -31.1977348328 8.81381893158 0.678865231598 58733.0 58823.0 0.984
-23.9678001404 -31.2038631439 8.81361103058 0.678504527118 58733.0 58733.0 0.0
-23.8322963715 -31.3009319305 8.81959819794 0.673741676817 58811.0 58811.0 0.0
-23.8223609924 -31.3108463287 8.82044029236 0.673248986731 58809.0 58809.0 0.0
-23.6616840363 -31.4166107178 8.82985591888 0.655409135784 58569.0 58569.0 0.0
-23.5900363922 -31.4655189514 8.82990837097 0.649412975469 30384.0 30384.0 0.0
-23.5228042603 -31.5101413727 8.81873607635 0.644160261624 58355.0 58355.0 0.0
-23.3792629242 -31.5949230194 8.81960391998 0.633179322716 57998.0 57998.0 0.0
-23.3751621246 -31.5974311829 8.81905555725 0.632762079873 34585.0 57762.0 0.968
-23.2656002045 -31.6690368652 8.81420135498 0.623527480307 34279.0 34279.0 0.0
-23.1555900574 -31.7221298218 8.80942440033 0.624714286899 57430.0 57430.0 0.0
-23.0960578918 -31.7504444122 8.80276584625 0.623717584417 57592.0 33584.0 0.744
-23.0272216797 -31.7865638733 8.79724407196 0.627102934527 33584.0 58006.0 0.628
-22.9989433289 -31.8068981171 8.79173660278 0.628678752449 58006.0 58006.0 0.0
-22.9978466034 -31.8075485229 8.79159641266 0.628732299469 56807.0 58005.0 0.992
-22.8983383179 -31.8520908356 8.79481506348 0.625324574265 57979.0 57570.0 0.444
-22.8060035706 -31.8889160156 8.79229831696 0.625890941306 57599.0 57599.0 0.0
-22.8059043884 -31.8889751434 8.79229259491 0.625897402697 57588.0 57599.0 0.996
-22.7812252045 -31.9037952423 8.79094409943 0.627506288913 57588.0 57588.0 0.0
-22.7574920654 -31.9203071594 8.79174613953 0.627784775832 57812.0 35692.0 0.484
