X Y Z MaximumInscribedSphereRadius EdgeArray0 EdgeArray1 EdgePCoordArray
-36.0836601257 -158.003234863 -180.435195923 1.17691783826 80760.0 80760.0 0.0
-36.0836486816 -158.003250122 -180.435195923 1.17691832559 31904.0 31904.0 0.0
-35.0887413025 -158.302703857 -180.942871094 1.23042138195 65723.0 65723.0 0.0
-33.9803123474 -158.636306763 -181.508468628 1.24112548673 81096.0 81096.0 0.0
-33.9803085327 -158.636306763 -181.508468628 1.24112560173 81485.0 81525.0 0.968
-32.857131958 -158.974380493 -182.081604004 1.23935604659 81622.0 81622.0 0.0
-32.8571243286 -158.974395752 -182.081619263 1.2393535792 81299.0 80927.0 0.884
-32.8526802063 -158.975738525 -182.083892822 1.23933087556 80927.0 81843.0 0.004
-31.7460384369 -159.308822632 -182.648590088 1.23377415478 81433.0 81433.0 0.0
-30.6282615662 -159.645233154 -183.218948364 1.2434352319 81451.0 81451.0 0.0
-30.6282615662 -159.645233154 -183.218948364 1.24343524947 82283.0 81451.0 0.992
-30.6282539368 -159.645233154 -183.218948364 1.24343742851 82283.0 82283.0 0.0
-29.5426635742 -159.971984863 -183.772903442 1.21478476027 81581.0 81581.0 0.0
-29.5384292603 -159.973251343 -183.775054932 1.21482582913 82556.0 82530.0 0.004
-28.4871635437 -160.289657593 -184.31149292 1.2252675594 81699.0 81699.0 0.0
-27.5736503601 -160.564605713 -184.777633667 1.14187811253 83194.0 83194.0 0.0
-26.850774765 -160.782180786 -185.146499634 1.12870046843 83316.0 83316.0 0.0
-26.8507728577 -160.782180786 -185.146499634 1.1287006356 83501.0 82814.0 0.04
-26.8471393585 -160.783294678 -185.148345947 1.12914516046 82814.0 83337.0 0.004
-25.9432373047 -161.055343628 -185.609619141 1.24012982656 83732.0 83732.0 0.0
-24.7282810211 -161.421035767 -186.22958374 1.29967503407 83794.0 83794.0 0.0
-24.7282791138 -161.421035767 -186.22958374 1.2996753388 83963.0 83713.0 0.976
-24.7236461639 -161.422424316 -186.231948853 1.29930308698 83713.0 83564.0 0.004
-23.5702705383 -161.769577026 -186.820495605 1.20661342418 83881.0 83881.0 0.0
-22.6355266571 -162.050918579 -187.297470093 1.16714243712 84333.0 84333.0 0.0
-22.6355171204 -162.050933838 -187.297485352 1.16713957714 83867.0 83867.0 0.0
-22.0337257385 -162.244735718 -187.591644287 1.06394744953 39621.0 39621.0 0.0
-21.9664173126 -162.27180481 -187.641769409 1.07466695228 36595.0 39619.0 0.144
-21.9602031708 -162.274871826 -187.645706177 1.07541535142 36595.0 36595.0 0.0
-21.8268871307 -162.321548462 -187.711151123 1.08620059434 37767.0 37767.0 0.0
-21.5723457336 -162.477600098 -187.838394165 1.08689166082 37212.0 37212.0 0.0
-21.4317398071 -162.528717041 -187.904846191 1.09833941679 37218.0 37218.0 0.0
-21.3235645294 -162.569061279 -187.958480835 1.11096338282 36601.0 37463.0 0.244
